Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N8	n13	0.5	Non-Terminal	C_glabrata_QNG13325.1 EPA16 [Nakaseomyces glabratus], C_glabrata_QNG16703.1 EPA11 [Nakaseomyces glabratus], C_glabrata_QNG13049.1 EPA21 [Nakaseomyces glabratus], C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus], C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus], C_glabrata_QNG12530.1 uncharacterized protein GWK60_C00077 [Nakaseomyces glabratus], C_glabrata_QNG14848.1 PWP2 [Nakaseomyces glabratus], C_glabrata_QNG14139.1 AWP12 [Nakaseomyces glabratus], C_glabrata_QNG12555.1 uncharacterized protein GWK60_C00627 [Nakaseomyces glabratus], C_glabrata_QNG12558.1 uncharacterized protein GWK60_C00693 [Nakaseomyces glabratus], C_glabrata_QNG12107.1 EPA19 [Nakaseomyces glabratus], C_glabrata_QNG16704.1 EPA13 [Nakaseomyces glabratus]	C_nivariensis_g004690.m1, C_glabrata_QNG12159.1 EPA10 [Nakaseomyces glabratus], C_glabrata_QNG12161.1 EPA9 [Nakaseomyces glabratus], C_nivariensis_g005069.m1, C_nivariensis_g002896.m1, C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus], C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus], C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus], C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus], C_glabrata_QNG12557.1 EPA8 [Nakaseomyces glabratus], C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus], C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus], C_glabrata_QNG12755.1 uncharacterized protein GWK60_D00033 [Nakaseomyces glabratus], C_glabrata_QNG12108.1 EPA24 [Nakaseomyces glabratus], C_glabrata_QNG12752.1 EPA25 [Nakaseomyces glabratus], C_glabrata_QNG15394.1 EPA15 [Nakaseomyces glabratus], C_glabrata_QNG16708.1 EPA12 [Nakaseomyces glabratus], C_glabrata_QNG13322.1 EPA1 [Nakaseomyces glabratus], C_glabrata_QNG13050.1 EPA7 [Nakaseomyces glabratus], C_glabrata_QNG12527.1 EPA6 [Nakaseomyces glabratus], C_glabrata_QNG14606.1 EPA17 [Nakaseomyces glabratus], C_glabrata_QNG15956.1 EPA23 [Nakaseomyces glabratus], C_nivariensis_g004993.m1, C_nivariensis_g005211.m1, C_nivariensis_g005214.m1, C_nivariensis_g001069.m1, C_nivariensis_g001068.m1, C_nivariensis_g005382.m1, C_nivariensis_g005216.m1, C_nivariensis_g001297.m1, C_nivariensis_g005215.m1, C_nivariensis_g000945.m1, C_nivariensis_g003384.m1, C_nivariensis_g003718.m1, C_nivariensis_g005070.m1, C_nivariensis_g002897.m1, C_glabrata_QNG13052.1 EPA20 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n14	1.0	Terminal	C_glabrata_QNG13325.1 EPA16 [Nakaseomyces glabratus]	C_glabrata_QNG16703.1 EPA11 [Nakaseomyces glabratus], C_glabrata_QNG13049.1 EPA21 [Nakaseomyces glabratus], C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus], C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus], C_glabrata_QNG12530.1 uncharacterized protein GWK60_C00077 [Nakaseomyces glabratus], C_glabrata_QNG14848.1 PWP2 [Nakaseomyces glabratus], C_glabrata_QNG14139.1 AWP12 [Nakaseomyces glabratus], C_glabrata_QNG12555.1 uncharacterized protein GWK60_C00627 [Nakaseomyces glabratus], C_glabrata_QNG12558.1 uncharacterized protein GWK60_C00693 [Nakaseomyces glabratus], C_glabrata_QNG12107.1 EPA19 [Nakaseomyces glabratus], C_glabrata_QNG16704.1 EPA13 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n15	1.0	Terminal	C_glabrata_QNG16703.1 EPA11 [Nakaseomyces glabratus], C_glabrata_QNG13049.1 EPA21 [Nakaseomyces glabratus], C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus], C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus], C_glabrata_QNG12530.1 uncharacterized protein GWK60_C00077 [Nakaseomyces glabratus], C_glabrata_QNG14848.1 PWP2 [Nakaseomyces glabratus]	C_glabrata_QNG14139.1 AWP12 [Nakaseomyces glabratus], C_glabrata_QNG12555.1 uncharacterized protein GWK60_C00627 [Nakaseomyces glabratus], C_glabrata_QNG12558.1 uncharacterized protein GWK60_C00693 [Nakaseomyces glabratus], C_glabrata_QNG12107.1 EPA19 [Nakaseomyces glabratus], C_glabrata_QNG16704.1 EPA13 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n16	1.0	Terminal	C_glabrata_QNG16703.1 EPA11 [Nakaseomyces glabratus]	C_glabrata_QNG13049.1 EPA21 [Nakaseomyces glabratus], C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus], C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus], C_glabrata_QNG12530.1 uncharacterized protein GWK60_C00077 [Nakaseomyces glabratus], C_glabrata_QNG14848.1 PWP2 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n17	1.0	Terminal	C_glabrata_QNG13049.1 EPA21 [Nakaseomyces glabratus], C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus], C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus]	C_glabrata_QNG12530.1 uncharacterized protein GWK60_C00077 [Nakaseomyces glabratus], C_glabrata_QNG14848.1 PWP2 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n18	1.0	Terminal	C_glabrata_QNG13049.1 EPA21 [Nakaseomyces glabratus]	C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus], C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n19	1.0	Terminal	C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus]	C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n20	1.0	Terminal	C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus]	C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n21	1.0	Terminal	C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus]	C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n22	1.0	Terminal	C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus]	C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n23	1.0	Terminal	C_glabrata_QNG12530.1 uncharacterized protein GWK60_C00077 [Nakaseomyces glabratus]	C_glabrata_QNG14848.1 PWP2 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n24	1.0	Terminal	C_glabrata_QNG14139.1 AWP12 [Nakaseomyces glabratus], C_glabrata_QNG12555.1 uncharacterized protein GWK60_C00627 [Nakaseomyces glabratus], C_glabrata_QNG12558.1 uncharacterized protein GWK60_C00693 [Nakaseomyces glabratus]	C_glabrata_QNG12107.1 EPA19 [Nakaseomyces glabratus], C_glabrata_QNG16704.1 EPA13 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n25	1.0	Terminal	C_glabrata_QNG14139.1 AWP12 [Nakaseomyces glabratus]	C_glabrata_QNG12555.1 uncharacterized protein GWK60_C00627 [Nakaseomyces glabratus], C_glabrata_QNG12558.1 uncharacterized protein GWK60_C00693 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n26	1.0	Terminal	C_glabrata_QNG12555.1 uncharacterized protein GWK60_C00627 [Nakaseomyces glabratus]	C_glabrata_QNG12558.1 uncharacterized protein GWK60_C00693 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n27	1.0	Terminal	C_glabrata_QNG12107.1 EPA19 [Nakaseomyces glabratus]	C_glabrata_QNG16704.1 EPA13 [Nakaseomyces glabratus]
OG0000000	N8	n28	1.0	Non-Terminal	C_nivariensis_g004690.m1, C_glabrata_QNG12159.1 EPA10 [Nakaseomyces glabratus], C_glabrata_QNG12161.1 EPA9 [Nakaseomyces glabratus], C_nivariensis_g005069.m1, C_nivariensis_g002896.m1, C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus], C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus], C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus], C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus], C_glabrata_QNG12557.1 EPA8 [Nakaseomyces glabratus], C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus], C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus], C_glabrata_QNG12755.1 uncharacterized protein GWK60_D00033 [Nakaseomyces glabratus]	C_glabrata_QNG12108.1 EPA24 [Nakaseomyces glabratus], C_glabrata_QNG12752.1 EPA25 [Nakaseomyces glabratus], C_glabrata_QNG15394.1 EPA15 [Nakaseomyces glabratus], C_glabrata_QNG16708.1 EPA12 [Nakaseomyces glabratus], C_glabrata_QNG13322.1 EPA1 [Nakaseomyces glabratus], C_glabrata_QNG13050.1 EPA7 [Nakaseomyces glabratus], C_glabrata_QNG12527.1 EPA6 [Nakaseomyces glabratus], C_glabrata_QNG14606.1 EPA17 [Nakaseomyces glabratus], C_glabrata_QNG15956.1 EPA23 [Nakaseomyces glabratus], C_nivariensis_g004993.m1, C_nivariensis_g005211.m1, C_nivariensis_g005214.m1, C_nivariensis_g001069.m1, C_nivariensis_g001068.m1, C_nivariensis_g005382.m1, C_nivariensis_g005216.m1, C_nivariensis_g001297.m1, C_nivariensis_g005215.m1, C_nivariensis_g000945.m1, C_nivariensis_g003384.m1, C_nivariensis_g003718.m1, C_nivariensis_g005070.m1, C_nivariensis_g002897.m1, C_glabrata_QNG13052.1 EPA20 [Nakaseomyces glabratus]
OG0000000	N8	n29	1.0	Non-Terminal	C_nivariensis_g004690.m1, C_glabrata_QNG12159.1 EPA10 [Nakaseomyces glabratus], C_glabrata_QNG12161.1 EPA9 [Nakaseomyces glabratus]	C_nivariensis_g005069.m1, C_nivariensis_g002896.m1, C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus], C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus], C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus], C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus], C_glabrata_QNG12557.1 EPA8 [Nakaseomyces glabratus], C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus], C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus], C_glabrata_QNG12755.1 uncharacterized protein GWK60_D00033 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n31	1.0	Terminal	C_glabrata_QNG12159.1 EPA10 [Nakaseomyces glabratus]	C_glabrata_QNG12161.1 EPA9 [Nakaseomyces glabratus]
OG0000000	C_nivariensis	n33	1.0	Terminal	C_nivariensis_g005069.m1	C_nivariensis_g002896.m1
OG0000000	C_glabrata	n34	1.0	Terminal	C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus], C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus], C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus], C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus], C_glabrata_QNG12557.1 EPA8 [Nakaseomyces glabratus], C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus], C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus]	C_glabrata_QNG12755.1 uncharacterized protein GWK60_D00033 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n35	1.0	Terminal	C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus], C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus], C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus], C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus]	C_glabrata_QNG12557.1 EPA8 [Nakaseomyces glabratus], C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus], C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus]
OG0000000	C_glabrata	n36	1.0	Terminal	C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus], C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus]	C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus], C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n37	1.0	Terminal	C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus]	C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n38	1.0	Terminal	C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus]	C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n39	1.0	Terminal	C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus]	C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n40	1.0	Terminal	C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus]	C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n41	1.0	Terminal	C_glabrata_QNG12557.1 EPA8 [Nakaseomyces glabratus]	C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus], C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus]
OG0000000	C_glabrata	n42	1.0	Terminal	C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus]	C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus]
