From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
KLLA0_A05665g	Q6CXT8	unreviewed	Q6CXT8_KLULA	tRNA (uracil(54)-C(5))-methyltransferase (EC 2.1.1.35)	KLLA0_A05665g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	578	methylation [GO:0032259]; RNA modification [GO:0009451]; tRNA processing [GO:0008033]		tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]	tRNA (uracil(54)-C5)-methyltransferase activity, S-adenosyl methionine-dependent [GO:0030697]; methylation [GO:0032259]; RNA modification [GO:0009451]; tRNA processing [GO:0008033]	GO:0008033; GO:0009451; GO:0030697; GO:0032259
KLLA0_A05863g	Q6CXS8	unreviewed	Q6CXS8_KLULA	biotin synthase (EC 2.8.1.6)	KLLA0_A05863g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	379	biotin biosynthetic process [GO:0009102]	mitochondrion [GO:0005739]	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; metal ion binding [GO:0046872]	mitochondrion [GO:0005739]; 2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; metal ion binding [GO:0046872]; biotin biosynthetic process [GO:0009102]	GO:0004076; GO:0005739; GO:0009102; GO:0046872; GO:0051537; GO:0051539
KLLA0_A05973g	Q6CXS3	unreviewed	Q6CXS3_KLULA	KLLA0A05973p	KLLA0_A05973g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	194	transcription by RNA polymerase I [GO:0006360]			transcription by RNA polymerase I [GO:0006360]	GO:0006360
KLLA0_A06710g	Q6CXP0	unreviewed	Q6CXP0_KLULA	KLLA0A06710p	KLLA0_A06710g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	423	ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]	nuclear periphery [GO:0034399]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]		nuclear periphery [GO:0034399]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]	GO:0005730; GO:0006364; GO:0030687; GO:0034399; GO:0042273
KLLA0_A07062g	Q6CXM6	unreviewed	Q6CXM6_KLULA	KLLA0A07062p	KLLA0_A07062g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	581		cytoplasm [GO:0005737]	Hsp90 protein binding [GO:0051879]	cytoplasm [GO:0005737]; Hsp90 protein binding [GO:0051879]	GO:0005737; GO:0051879
KLLA0_A07623g	Q6CXK0	unreviewed	Q6CXK0_KLULA	KLLA0A07623p	KLLA0_A07623g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	250	rRNA processing [GO:0006364]		snoRNA binding [GO:0030515]	snoRNA binding [GO:0030515]; rRNA processing [GO:0006364]	GO:0006364; GO:0030515
KLLA0_A10439g	Q6CX82	unreviewed	Q6CX82_KLULA	KLLA0A10439p	KLLA0_A10439g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	634		endosome [GO:0005768]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]	siderophore-iron transmembrane transporter activity [GO:0015343]	endosome [GO:0005768]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]; siderophore-iron transmembrane transporter activity [GO:0015343]	GO:0005768; GO:0005774; GO:0005886; GO:0015343
KLLA0_A10813g	Q6CX68	unreviewed	Q6CX68_KLULA	KLLA0A10813p	KLLA0_A10813g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	584		membrane [GO:0016020]	amino acid transmembrane transporter activity [GO:0015171]	membrane [GO:0016020]; amino acid transmembrane transporter activity [GO:0015171]	GO:0015171; GO:0016020
KLLA0_A11066g	Q6CX57	unreviewed	Q6CX57_KLULA	KLLA0A11066p	KLLA0_A11066g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	282					
KLLA0_A11770g	Q6CX27	unreviewed	Q6CX27_KLULA	KLLA0A11770p	KLLA0_A11770g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	581		membrane [GO:0016020]	amino acid transmembrane transporter activity [GO:0015171]	membrane [GO:0016020]; amino acid transmembrane transporter activity [GO:0015171]	GO:0015171; GO:0016020
KLLA0_A12001g	Q6CX16	unreviewed	Q6CX16_KLULA	KLLA0A12001p	KLLA0_A12001g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	126					
KLLA0_B00308g	Q6CWZ6	unreviewed	Q6CWZ6_KLULA	KLLA0B00308p	KLLA0_B00308g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	449	flocculation [GO:0000128]			flocculation [GO:0000128]	GO:0000128
KLLA0_B00385g	Q6CWZ2	unreviewed	Q6CWZ2_KLULA	KLLA0B00385p	KLLA0_B00385g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	564		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
KLLA0_B00407g	Q6CWZ1	unreviewed	Q6CWZ1_KLULA	KLLA0B00407p	KLLA0_B00407g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	228	biotin biosynthetic process [GO:0009102]		ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]	ATP binding [GO:0005524]; dethiobiotin synthase activity [GO:0004141]; magnesium ion binding [GO:0000287]; biotin biosynthetic process [GO:0009102]	GO:0000287; GO:0004141; GO:0005524; GO:0009102
KLLA0_B00429g	Q6CWZ0	unreviewed	Q6CWZ0_KLULA	KLLA0B00429p	KLLA0_B00429g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	483	biotin biosynthetic process [GO:0009102]		adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]	adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102]	GO:0004015; GO:0009102; GO:0030170
KLLA0_B00561g	Q6CWY4	unreviewed	Q6CWY4_KLULA	RNA helicase (EC 3.6.4.13)	KLLA0_B00561g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	767	mRNA processing [GO:0006397]; ribonucleoprotein complex biogenesis [GO:0022613]; RNA splicing [GO:0008380]	spliceosomal complex [GO:0005681]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	spliceosomal complex [GO:0005681]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; mRNA processing [GO:0006397]; ribonucleoprotein complex biogenesis [GO:0022613]; RNA splicing [GO:0008380]	GO:0003723; GO:0003724; GO:0005524; GO:0005681; GO:0006397; GO:0008380; GO:0016787; GO:0022613
KLLA0_B01518g	Q6CWU1	unreviewed	Q6CWU1_KLULA	KLLA0B01518p	KLLA0_B01518g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	454	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]	snoRNA binding [GO:0030515]	Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]; snoRNA binding [GO:0030515]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	GO:0000462; GO:0030515; GO:0032040; GO:0034388
KLLA0_B02068g	Q6CWR6	unreviewed	Q6CWR6_KLULA	KLLA0B02068p	KLLA0_B02068g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	1167	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]	ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; U3 snoRNA binding [GO:0034511]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; U3 snoRNA binding [GO:0034511]; endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	GO:0000462; GO:0000479; GO:0003924; GO:0005525; GO:0005730; GO:0016887; GO:0030686; GO:0034511
KLLA0_B02266g	Q6CWQ7	unreviewed	Q6CWQ7_KLULA	60S ribosome subunit biogenesis protein NIP7	KLLA0_B02266g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	181	ribosome assembly [GO:0042255]	nucleolus [GO:0005730]	RNA binding [GO:0003723]	nucleolus [GO:0005730]; RNA binding [GO:0003723]; ribosome assembly [GO:0042255]	GO:0003723; GO:0005730; GO:0042255
KLLA0_B02376g	Q6CWQ2	unreviewed	Q6CWQ2_KLULA	KLLA0B02376p	KLLA0_B02376g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	132		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
KLLA0_B02607g	Q6CWP1	unreviewed	Q6CWP1_KLULA	KLLA0B02607p	KLLA0_B02607g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	687	fungal-type cell wall organization [GO:0031505]	cell cortex of cell tip [GO:0051285]; plasma membrane [GO:0005886]		cell cortex of cell tip [GO:0051285]; plasma membrane [GO:0005886]; fungal-type cell wall organization [GO:0031505]	GO:0005886; GO:0031505; GO:0051285
KLLA0_B04158g	Q6CWH1	unreviewed	Q6CWH1_KLULA	KLLA0B04158p	KLLA0_B04158g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	215	GMP salvage [GO:0032263]; hypoxanthine metabolic process [GO:0046100]; IMP salvage [GO:0032264]; XMP salvage [GO:0032265]	cytoplasm [GO:0005737]	hypoxanthine phosphoribosyltransferase activity [GO:0004422]	cytoplasm [GO:0005737]; hypoxanthine phosphoribosyltransferase activity [GO:0004422]; GMP salvage [GO:0032263]; hypoxanthine metabolic process [GO:0046100]; IMP salvage [GO:0032264]; XMP salvage [GO:0032265]	GO:0004422; GO:0005737; GO:0032263; GO:0032264; GO:0032265; GO:0046100
KLLA0_B05995g	Q6CW85	unreviewed	Q6CW85_KLULA	KLLA0B05995p	KLLA0_B05995g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	490					
KLLA0_B06116g	Q6CW80	unreviewed	Q6CW80_KLULA	KLLA0B06116p	KLLA0_B06116g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	1051	ribosomal small subunit biogenesis [GO:0042274]	nucleolus [GO:0005730]	RNA binding [GO:0003723]	nucleolus [GO:0005730]; RNA binding [GO:0003723]; ribosomal small subunit biogenesis [GO:0042274]	GO:0003723; GO:0005730; GO:0042274
KLLA0_B06303g	Q6CW73	unreviewed	Q6CW73_KLULA	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	KLLA0_B06303g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	1203	DNA-templated transcription [GO:0006351]	DNA-directed RNA polymerase complex [GO:0000428]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; zinc ion binding [GO:0008270]	DNA-directed RNA polymerase complex [GO:0000428]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	GO:0000428; GO:0003677; GO:0003899; GO:0005634; GO:0005739; GO:0006351; GO:0008270; GO:0032549
KLLA0_B07161g	Q6CW40	unreviewed	Q6CW40_KLULA	KLLA0B07161p	KLLA0_B07161g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	553		nucleus [GO:0005634]	protein-lysine N-methyltransferase activity [GO:0016279]	nucleus [GO:0005634]; protein-lysine N-methyltransferase activity [GO:0016279]	GO:0005634; GO:0016279
KLLA0_B07953g	Q6CW05	unreviewed	Q6CW05_KLULA	KLLA0B07953p	KLLA0_B07953g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	598		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
KLLA0_B08041g	Q6CW01	unreviewed	Q6CW01_KLULA	KLLA0B08041p	KLLA0_B08041g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	89					
KLLA0_B08085g	Q6CVZ9	unreviewed	Q6CVZ9_KLULA	KLLA0B08085p	KLLA0_B08085g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	316	lipid biosynthetic process [GO:0008610]	membrane [GO:0016020]	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]	membrane [GO:0016020]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; lipid biosynthetic process [GO:0008610]	GO:0005506; GO:0008610; GO:0016020; GO:0016491
KLLA0_B08239g	Q6CVZ2	unreviewed	Q6CVZ2_KLULA	rRNA biogenesis protein RRP5 (Ribosomal RNA-processing protein 5)	KLLA0_B08239g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	1729	rRNA processing [GO:0006364]	nucleolus [GO:0005730]; small-subunit processome [GO:0032040]	RNA binding [GO:0003723]	nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; rRNA processing [GO:0006364]	GO:0003723; GO:0005730; GO:0006364; GO:0032040
KLLA0_B09592g	Q6CVT3	unreviewed	Q6CVT3_KLULA	KLLA0B09592p	KLLA0_B09592g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	333	negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process in the vacuole [GO:0007039]; protein targeting to vacuole [GO:0006623]	GID complex [GO:0034657]; vacuole [GO:0005773]		GID complex [GO:0034657]; vacuole [GO:0005773]; negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process in the vacuole [GO:0007039]; protein targeting to vacuole [GO:0006623]	GO:0005773; GO:0006623; GO:0007039; GO:0034657; GO:0043161; GO:0045721
KLLA0_B10890g	Q6CVM6	unreviewed	Q6CVM6_KLULA	KLLA0B10890p	KLLA0_B10890g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	521	ribosome biogenesis [GO:0042254]	Noc4p-Nop14p complex [GO:0030692]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]		Noc4p-Nop14p complex [GO:0030692]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; ribosome biogenesis [GO:0042254]	GO:0005730; GO:0030692; GO:0032040; GO:0042254
KLLA0_B10934g	Q6CVM4	unreviewed	Q6CVM4_KLULA	KLLA0B10934p	KLLA0_B10934g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	253	maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]	preribosome, large subunit precursor [GO:0030687]		preribosome, large subunit precursor [GO:0030687]; maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]	GO:0000460; GO:0000470; GO:0030687
KLLA0_B11077g	Q6CVL7	unreviewed	Q6CVL7_KLULA	KLLA0B11077p	KLLA0_B11077g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	567		nucleus [GO:0005634]; small-subunit processome [GO:0032040]	U3 snoRNA binding [GO:0034511]	nucleus [GO:0005634]; small-subunit processome [GO:0032040]; U3 snoRNA binding [GO:0034511]	GO:0005634; GO:0032040; GO:0034511
KLLA0_B13563g	Q6CVA4	unreviewed	Q6CVA4_KLULA	Ribosome assembly factor mrt4	KLLA0_B13563g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	238	nuclear-transcribed mRNA catabolic process [GO:0000956]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; RNA binding [GO:0003723]; nuclear-transcribed mRNA catabolic process [GO:0000956]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]	GO:0000027; GO:0000956; GO:0003723; GO:0005730; GO:0005737; GO:0006364; GO:0030687
