Orthogroup	C_albicans	C_auris	C_glabrata	C_nivariensis	C_parapsilosis	K_lactis	L_kluyveri	N_bacillisporus	S_cerevisiae	Y_lipolytica
OG0006092	orf19.4244 orf19.4244 CGDID_CAL0000221 COORDS_Ca21chr5_C_albicans_SC5314_525349-524873C_ translated using codon table 12 _158 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006093	orf19.787 orf19.787 CGDID_CAL0001990 COORDS_Ca21chr4_C_albicans_SC5314_844921-844616C_ translated using codon table 12 _101 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006094	orf19.2784 orf19.2784 CGDID_CAL0004288 COORDS_Ca21chr1_C_albicans_SC5314_1647328-1646384C_ translated using codon table 12 _314 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006095	orf19.2938 orf19.2938 CGDID_CAL0006023 COORDS_Ca21chr1_C_albicans_SC5314_526916-524895C_ translated using codon table 12 _673 amino acids_ Uncharacterized ORF; Putative mitochondrial inner membrane protein with a predicted role in the assembly of respiratory complex III; Hap43p-repressed gene; <I									
OG0006096	S. cerevisiae</I									
OG0006097	orf19.6534 orf19.6534 CGDID_CAL0003151 COORDS_Ca21chr7_C_albicans_SC5314_401552-402022W_ translated using codon table 12 _156 amino acids_ Dubious ORF; Protein of unknown function									
OG0006098	orf19.3284 orf19.3284 CGDID_CAF0006981 COORDS_Ca21chrR_C_albicans_SC5314_171669-171992W_ translated using codon table 12 _107 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006099	orf19.6110 orf19.6110 CGDID_CAL0005956 COORDS_Ca21chr1_C_albicans_SC5314_11995-11648C_ translated using codon table 12 _115 amino acids_ Dubious ORF; Protein of unknown function									
OG0006100	orf19.5299.1 orf19.5299.1 CGDID_CAL0000158783 COORDS_Ca21chr4_C_albicans_SC5314_880443-880580W_ translated using codon table 12 _45 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006101	orf19.69.2 orf19.69.2 CGDID_CAF0006888 COORDS_Ca21chr1_C_albicans_SC5314_2719038-2718745C_ translated using codon table 12 _97 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006102	orf19.1268 orf19.1268 CGDID_CAL0002991 COORDS_Ca21chr4_C_albicans_SC5314_1290702-1291043W_ translated using codon table 12 _113 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays; rat catheter biofilm induced									
OG0006103	orf19.2959 orf19.2959 CGDID_CAL0006056 COORDS_Ca21chr1_C_albicans_SC5314_562719-562417C_ translated using codon table 12 _100 amino acids_ Uncharacterized ORF; Predicted ORF from Assembly 19; removed from Assembly 20; subsequently reinstated in Assembly 21 based on comparative genome analysis									
OG0006104	orf19.6626 orf19.6626 CGDID_CAL0003989 COORDS_Ca21chrR_C_albicans_SC5314_1235065-1235691W_ translated using codon table 12 _208 amino acids_ Uncharacterized ORF; Predicted homeodomain-containing protein; possible transcription factor; possibly transcriptionally regulated upon hyphal formation									
OG0006105	orf19.4976 orf19.4976 CGDID_CAL0006400 COORDS_Ca21chr1_C_albicans_SC5314_2951250-2951606W_ translated using codon table 12 _118 amino acids_ Dubious ORF; Protein of unknown function									
OG0006106	orf19.1683 PPH21 CGDID_CAL0000149 COORDS_Ca21chr3_C_albicans_SC5314_351845-352927W_ translated using codon table 12 _360 amino acids_ Uncharacterized ORF; Putative protein phosphatase of the Type 2A-related family _serine/threonine-specific__ similar to <i									
OG0006107	S. cerevisiae</i									
OG0006108	orf19.5814.1 orf19.5814.1 CGDID_CAL0000158779 COORDS_Ca21chr2_C_albicans_SC5314_582058-582321W_ translated using codon table 12 _87 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006109	orf19.5092 orf19.5092 CGDID_CAL0001813 COORDS_Ca21chr1_C_albicans_SC5314_1779265-1778627C_ translated using codon table 12 _212 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006110	orf19.6493 orf19.6493 CGDID_CAL0002331 COORDS_Ca21chr7_C_albicans_SC5314_483239-483631W_ translated using codon table 12 _130 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006111	orf19.6350 orf19.6350 CGDID_CAL0001335 COORDS_Ca21chr1_C_albicans_SC5314_2773095-2772553C_ translated using codon table 12 _180 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006112	orf19.4741 orf19.4741 CGDID_CAL0004446 COORDS_Ca21chr1_C_albicans_SC5314_1922673-1922090C_ translated using codon table 12 _148 amino acids_ Uncharacterized ORF; Protein of unknown function; C. albicans- and C. dubliniensis specific gene; rat catheter biofilm repressed									
OG0006113	orf19.3186 orf19.3186 CGDID_CAL0002424 COORDS_Ca21chr5_C_albicans_SC5314_424411-424746W_ translated using codon table 12 _111 amino acids_ Dubious ORF; Protein of unknown function									
OG0006114	orf19.6940 orf19.6940 CGDID_CAF0007091 COORDS_Ca21chr3_C_albicans_SC5314_794013-794453W_ translated using codon table 12 _146 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006115	orf19.5735.3 orf19.5735.3 CGDID_CAF0007054 COORDS_Ca21chr6_C_albicans_SC5314_780732-780436C_ translated using codon table 12 _98 amino acids_ Dubious ORF; Protein of unknown function; Spider biofilm induced									
OG0006116	orf19.4081 orf19.4081 CGDID_CAL0004929 COORDS_Ca21chr2_C_albicans_SC5314_1889255-1889755W_ translated using codon table 12 _166 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006117	orf19.2177 orf19.2177 CGDID_CAF0006938 COORDS_Ca21chr2_C_albicans_SC5314_1641445-1641981W_ translated using codon table 12 _178 amino acids_ Uncharacterized ORF; Sef1p-_ Sfu1p-_ and Hap43p-regulated gene; overlaps IFM3/orf19.2176									
OG0006118	orf19.653 orf19.653 CGDID_CAL0001029 COORDS_Ca21chrR_C_albicans_SC5314_1082057-1081731C_ translated using codon table 12 _108 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006119	orf19.4013 orf19.4013 CGDID_CAL0004678 COORDS_Ca21chr5_C_albicans_SC5314_1141603-1140299C_ translated using codon table 12 _434 amino acids_ Uncharacterized ORF; Putative protein of unknown function; Hap43p-repressed gene; <I									
OG0006120	S. cerevisiae</I									
OG0006121	orf19.7275 FGR24 CGDID_CAL0003963 COORDS_Ca21chr1_C_albicans_SC5314_3185304-3184588C_ translated using codon table 12 _238 amino acids_ Verified ORF; Protein encoded in retrotransposon Zorro2 with similarity to retroviral endonuclease-reverse transcriptase proteins; lacks an ortholog in S. cerevisiae; transposon mutation affects filamentous growth									
OG0006122	orf19.3475 orf19.3475 CGDID_CAL0005062 COORDS_Ca21chr6_C_albicans_SC5314_486570-487130W_ translated using codon table 12 _186 amino acids_ Uncharacterized ORF; Described as a Gag-related protein; hyphal induced; downregulation correlates with clinical development of fluconazole resistance; repressed by nitric oxide_ 17-beta-estradiol_ ethynyl estradiol									
OG0006123	orf19.5190 orf19.5190 CGDID_CAL0002722 COORDS_Ca21chr7_C_albicans_SC5314_590363-590788W_ translated using codon table 12 _141 amino acids_ Dubious ORF; Protein of unknown function									
OG0006124	orf19.6339 NRG2 CGDID_CAL0001305 COORDS_Ca21chr6_C_albicans_SC5314_2-346W_ translated using codon table 12 _114 amino acids_ Verified ORF; Transcription factor; transposon mutation affects filamentous growth									
OG0006125	orf19.3210 orf19.3210 CGDID_CAL0003210 COORDS_Ca21chr5_C_albicans_SC5314_883072-882434C_ translated using codon table 12 _212 amino acids_ Uncharacterized ORF; Predicted protein of unknown function; Plc1-regulated									
OG0006126	orf19.635 orf19.635 CGDID_CAL0000975 COORDS_Ca21chrR_C_albicans_SC5314_1078376-1077795C_ translated using codon table 12 _193 amino acids_ Uncharacterized ORF; Protein of unknown function; induced by alpha pheromone in SpiderM medium									
OG0006127	orf19.3819 orf19.3819 CGDID_CAL0001959 COORDS_Ca21chr4_C_albicans_SC5314_999245-998880C_ translated using codon table 12 _121 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays									
OG0006128	orf19.1778 orf19.1778 CGDID_CAL0000935 COORDS_Ca21chr2_C_albicans_SC5314_2056276-2056590W_ translated using codon table 12 _104 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006129	orf19.5475 orf19.5475 CGDID_CAF0007049 COORDS_Ca21chr3_C_albicans_SC5314_3999-4823W_ translated using codon table 12 _274 amino acids_ Dubious ORF; Sef1p-_ Sfu1p-_ and Hap43p-regulated gene									
OG0006130	orf19.3712 orf19.3712 CGDID_CAL0001096 COORDS_Ca21chrR_C_albicans_SC5314_1703464-1703015C_ translated using codon table 12 _149 amino acids_ Uncharacterized ORF; Protein of unknown function; induced by Mnl1 under weak acid stress; flow model biofilm induced; Spider biofilm induced									
OG0006131	orf19.2530 orf19.2530 CGDID_CAL0002432 COORDS_Ca21chrR_C_albicans_SC5314_340865-340533C_ translated using codon table 12 _110 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006132	orf19.1418 SEC15 CGDID_CAL0004495 COORDS_Ca21chr4_C_albicans_SC5314_915503-918181W_ translated using codon table 12 _892 amino acids_ Verified ORF; Predicted exocyst subunit; cellular bud tip-associated protein; ortholog of <i									
OG0006133	S. cerevisiae</i									
OG0006134	orf19.2685 PGA54 CGDID_CAL0003532 COORDS_Ca21chr4_C_albicans_SC5314_639770-640798W_ translated using codon table 12 _342 amino acids_ Uncharacterized ORF; GPI-anchored protein; Hog1-repressed; induced in cyr1 or efg1 mutant or in hyphae; colony morphology-related gene regulation by Ssn6; induced in RHE model; mRNA binds She3; regulated in Spider biofilms by Tec1_ Egf1_ Ntd80_ Rob1_ Brg1									
OG0006135	orf19.2285 orf19.2285 CGDID_CAL0006380 COORDS_Ca21chr2_C_albicans_SC5314_1482795-1484489W_ translated using codon table 12 _564 amino acids_ Verified ORF; Protein of unknown function; transcription induced by benomyl treatment									
OG0006136	orf19.1651 orf19.1651 CGDID_CAL0000032 COORDS_Ca21chr3_C_albicans_SC5314_434320-433793C_ translated using codon table 12 _175 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006137	orf19.3309 orf19.3309 CGDID_CAL0004053 COORDS_Ca21chr1_C_albicans_SC5314_245215-246462W_ translated using codon table 12 _415 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006138	orf19.7395 orf19.7395 CGDID_CAL0004840 COORDS_Ca21chr3_C_albicans_SC5314_1395705-1396022W_ translated using codon table 12 _105 amino acids_ Dubious ORF; Protein of unknown function									
OG0006139	orf19.7553 orf19.7553 CGDID_CAL0000087 COORDS_Ca21chrR_C_albicans_SC5314_2095906-2096619W_ translated using codon table 12 _237 amino acids_ Uncharacterized ORF; Protein of unknown function; rat catheter biofilm repressed									
OG0006140	orf19.4481 MFALPHA CGDID_CAL0001991 COORDS_Ca21chr1_C_albicans_SC5314_852302-851871C_ translated using codon table 12 _143 amino acids_ Verified ORF; Alpha factor mating pheromone precursor; three copies of pheromone that are proteolytically processed by Kex2p and possibly by Orf19.5851p; required for alpha cells to mate; expressed specifically in opaque phase MTLalpha/MTLalpha cells									
OG0006141	orf19.533 orf19.533 CGDID_CAL0000159 COORDS_Ca21chrR_C_albicans_SC5314_980823-981137W_ translated using codon table 12 _104 amino acids_ Dubious ORF; Protein of unknown function									
OG0006142	orf19.298 orf19.298 CGDID_CAF0006893 COORDS_Ca21chr3_C_albicans_SC5314_639472-639975W_ translated using codon table 12 _167 amino acids_ Uncharacterized ORF; Protein of unknown function; flow model biofilm induced									
OG0006143	orf19.4280 orf19.4280 CGDID_CAL0000343 COORDS_Ca21chr5_C_albicans_SC5314_594542-595192W_ translated using codon table 12 _216 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced; rat catheter biofilm repressed									
OG0006144	orf19.6079 orf19.6079 CGDID_CAL0005197 COORDS_Ca21chr1_C_albicans_SC5314_42606-43505W_ translated using codon table 12 _299 amino acids_ Uncharacterized ORF; Predicted ORF in retrotransposon Tca8 with similarity to the Gag region encoding nucleocapsid-like protein; repressed by ciclopirox olamine; filament induced; regulated by Rfg1_ Tup1; overlaps orf19.6078.1									
OG0006145	orf19.6273 orf19.6273 CGDID_CAL0000565 COORDS_Ca21chr1_C_albicans_SC5314_1359770-1359447C_ translated using codon table 12 _107 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006146	orf19.450 orf19.450 CGDID_CAL0005722 COORDS_Ca21chr1_C_albicans_SC5314_1085239-1085006C_ translated using codon table 12 _77 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006147	orf19.5451 orf19.5451 CGDID_CAF0007044 COORDS_Ca21chr3_C_albicans_SC5314_24430-24810W_ translated using codon table 12 _126 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006148	orf19.2905 orf19.2905 CGDID_CAL0005944 COORDS_Ca21chr4_C_albicans_SC5314_1404817-1404149C_ translated using codon table 12 _222 amino acids_ Dubious ORF; Protein of unknown function									
OG0006149	orf19.3435 orf19.3435 CGDID_CAL0004964 COORDS_Ca21chr6_C_albicans_SC5314_298115-297672C_ translated using codon table 12 _147 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006150	orf19.3229 orf19.3229 CGDID_CAL0003262 COORDS_Ca21chrR_C_albicans_SC5314_299878-299573C_ translated using codon table 12 _101 amino acids_ Uncharacterized ORF; Protein of unknown function; transcript detected on high-resolution tiling arrays									
OG0006151	orf19.1529 orf19.1529 CGDID_CAL0005450 COORDS_Ca21chr2_C_albicans_SC5314_418894-417866C_ translated using codon table 12 _342 amino acids_ Uncharacterized ORF; Protein of unknown function; macrophage-induced gene									
OG0006152	orf19.6923.1 orf19.6923.1 CGDID_CAL0120936 COORDS_Ca21chr3_C_albicans_SC5314_819560-819775W_ translated using codon table 12 _71 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006153	orf19.6967 USO6 CGDID_CAL0000342 COORDS_Ca21chr3_C_albicans_SC5314_1171431-1174823W_ translated using codon table 12 _1130 amino acids_ Uncharacterized ORF; Putative vesicular transport protein; transcript induced by filamentous growth; rat catheter biofilm repressed									
OG0006154	orf19.7260 orf19.7260 CGDID_CAL0003922 COORDS_Ca21chr1_C_albicans_SC5314_3171784-3171005C_ translated using codon table 12 _259 amino acids_ Uncharacterized ORF; Protein with a predicted NADP-dependent oxidoreductase or aldo-keto reductase domain; Hap43-repressed; Spider biofilm repressed									
OG0006155	orf19.529.1 orf19.529.1 CGDID_CAL0120845 COORDS_Ca21chrR_C_albicans_SC5314_977169-977393W_ translated using codon table 12 _74 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006156	orf19.693 orf19.693 CGDID_CAL0001164 COORDS_Ca21chrR_C_albicans_SC5314_1406210-1406908W_ translated using codon table 12 _232 amino acids_ Uncharacterized ORF; Protein of unknown function; Spider biofilm induced; rat catheter biofilm repressed									
OG0006157	orf19.7614 orf19.7614 CGDID_CAL0000822 COORDS_Ca21chrR_C_albicans_SC5314_2216261-2215236C_ translated using codon table 12 _341 amino acids_ Uncharacterized ORF; Protein of unknown function; Hap43-induced gene; mutant is viable									
OG0006158	orf19.7583 ZCF39 CGDID_CAL0000209 COORDS_Ca21chrR_C_albicans_SC5314_2154225-2152180C_ translated using codon table 12 _681 amino acids_ Verified ORF; Zn_II_2Cys6 transcription factor; mutants are viable; filament induced; required for yeast cell adherence to silicone substrate; Spider biofilm induced									
OG0006159	orf19.3748 orf19.3748 CGDID_CAF0006994 COORDS_Ca21chrR_C_albicans_SC5314_497850-498170W_ translated using codon table 12 _106 amino acids_ Dubious ORF; Protein of unknown function; orf19.3747 and orf19.3748 are short_ overlapping ORFs in intergenic region between 2 oligopeptide transporter-encoding genes; flow model biofilm induced									
OG0006160	orf19.344 orf19.344 CGDID_CAL0004790 COORDS_Ca21chr3_C_albicans_SC5314_734430-733615C_ translated using codon table 12 _271 amino acids_ Uncharacterized ORF; Protein of unknown function; upregulated by fluphenazine treatment or in an azole-resistant strain that overexpresses CDR1 and CDR2; transcript possibly regulated by Tac1									
OG0006161	orf19.7192 orf19.7192 CGDID_CAL0003155 COORDS_Ca21chr7_C_albicans_SC5314_859734-860063W_ translated using codon table 12 _109 amino acids_ Dubious ORF; Protein of unknown function									
OG0006162	orf19.1440.2 orf19.1440.2 CGDID_CAL0120537 COORDS_Ca21chr4_C_albicans_SC5314_690462-690280C_ translated using codon table 12 _60 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006163	orf19.1490.1 orf19.1490.1 CGDID_CAL0120542 COORDS_Ca21chr2_C_albicans_SC5314_333010-333297W_ translated using codon table 12 _95 amino acids_ Uncharacterized ORF; Predicted ORF in retrotransposon Tca16 with similarity to the Gag-Pol region of retrotransposons; added to Assembly 21 based on comparative genome analysis; overlaps orf19.1490.2_ which is annotated as blocked reading frame									
OG0006164	orf19.4200 orf19.4200 CGDID_CAL0000051 COORDS_Ca21chr6_C_albicans_SC5314_107404-107763W_ translated using codon table 12 _119 amino acids_ Dubious ORF; Protein of unknown function									
OG0006165	orf19.5306 orf19.5306 CGDID_CAL0004248 COORDS_Ca21chr4_C_albicans_SC5314_866890-867306W_ translated using codon table 12 _138 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006166	orf19.7437 orf19.7437 CGDID_CAL0005517 COORDS_Ca21chr3_C_albicans_SC5314_1481996-1482919W_ translated using codon table 12 _307 amino acids_ Uncharacterized ORF; Putative protein of unknown function; Hap43p-repressed gene; ortholog of <i									
OG0006167	S. cerevisiae</i									
OG0006168	orf19.5462 orf19.5462 CGDID_CAF0007046 COORDS_Ca21chr3_C_albicans_SC5314_19605-20204W_ translated using codon table 12 _199 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006169	orf19.6784 PGA32 CGDID_CAL0004984 COORDS_Ca21chr3_C_albicans_SC5314_1638005-1639297W_ translated using codon table 12 _430 amino acids_ Uncharacterized ORF; Putative GPI-anchored adhesin-like protein; induced in high iron; Spider biofilm induced									
OG0006170	orf19.4528.1 orf19.4528.1 CGDID_CAL0000158775 COORDS_Ca21chr1_C_albicans_SC5314_405767-406045W_ translated using codon table 12 _92 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006171	orf19.7159 orf19.7159 CGDID_CAL0003008 COORDS_Ca21chr7_C_albicans_SC5314_894002-896905W_ translated using codon table 12 _967 amino acids_ Uncharacterized ORF; Putative protein of unknown function; Hap43p-repressed gene; ortholog of <i									
OG0006172	S. cerevisiae</i									
OG0006173	orf19.2033 PGA19 CGDID_CAL0004383 COORDS_Ca21chr2_C_albicans_SC5314_152920-153609W_ translated using codon table 12 _229 amino acids_ Uncharacterized ORF; Putative GPI-anchored protein; macrophage-induced gene; mutants are viable									
OG0006174	orf19.1830 orf19.1830 CGDID_CAL0001649 COORDS_Ca21chr1_C_albicans_SC5314_2344641-2344309C_ translated using codon table 12 _110 amino acids_ Uncharacterized ORF; Protein of unknown function; Hap43-induced; rat catheter and Spider biofilm induced									
OG0006175	orf19.516 orf19.516 CGDID_CAL0000084 COORDS_Ca21chrR_C_albicans_SC5314_957305-955620C_ translated using codon table 12 _561 amino acids_ Uncharacterized ORF; <I									
OG0006176	S. cerevisiae</I									
OG0006177	orf19.5919 MEA1 CGDID_CAL0003282 COORDS_Ca21chr3_C_albicans_SC5314_976571-978460W_ translated using codon table 12 _629 amino acids_ Uncharacterized ORF; Protein similar to <i									
OG0006178	A. nidulans</i									
OG0006179	orf19.322 orf19.322 CGDID_CAL0004699 COORDS_Ca21chr3_C_albicans_SC5314_685027-684593C_ translated using codon table 12 _144 amino acids_ Dubious ORF; Protein of unknown function									
OG0006180	orf19.4681 RAT1 CGDID_CAL0003816 COORDS_Ca21chr4_C_albicans_SC5314_219462-222368W_ translated using codon table 12 _968 amino acids_ Verified ORF; 5'--									
OG0006181	orf19.3828 orf19.3828 CGDID_CAL0002000 COORDS_Ca21chr4_C_albicans_SC5314_973609-973277C_ translated using codon table 12 _110 amino acids_ Dubious ORF; Protein of unknown function									
OG0006182	orf19.3931.2 orf19.3931.2 CGDID_CAL0120734 COORDS_Ca21chr5_C_albicans_SC5314_979644-979462C_ translated using codon table 12 _60 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006183	orf19.7167 orf19.7167 CGDID_CAL0003048 COORDS_Ca21chr7_C_albicans_SC5314_886021-885221C_ translated using codon table 12 _266 amino acids_ Uncharacterized ORF; Putative adhesin-like protein									
OG0006184	orf19.254 orf19.254 CGDID_CAL0004007 COORDS_Ca21chr3_C_albicans_SC5314_570048-568780C_ translated using codon table 12 _422 amino acids_ Uncharacterized ORF; Protein of unknown function; Hog1p-repressed; Spider biofilm induced									
OG0006185	orf19.2771 BEM3 CGDID_CAL0004269 COORDS_Ca21chr4_C_albicans_SC5314_457313-460738W_ translated using codon table 12 _1141 amino acids_ Verified ORF; Putative GTPase-activating protein _GAP_ for Rho-type GTPase Cdc42p; involved in cell signaling pathways that control cell polarity; similar to <i									
OG0006186	S. cerevisiae</i									
OG0006187	orf19.7561 DEF1 CGDID_CAL0000121 COORDS_Ca21chrR_C_albicans_SC5314_2106215-2108878W_ translated using codon table 12 _887 amino acids_ Verified ORF; RNA polymerase II regulator; role in filamentation_ epithelial cell escape_ dissemination in RHE model; induced by fluconazole_ high cell density; Efg1/hyphal regulated; role in adhesion_ hyphal growth on solid media; Spider biofilm induced									
OG0006188	orf19.5246 orf19.5246 CGDID_CAL0003559 COORDS_Ca21chr1_C_albicans_SC5314_2658916-2657750C_ translated using codon table 12 _388 amino acids_ Uncharacterized ORF; Protein of unknown function; Hap43-repressed gene									
OG0006189	orf19.6491 orf19.6491 CGDID_CAL0002328 COORDS_Ca21chr7_C_albicans_SC5314_486519-486872W_ translated using codon table 12 _117 amino acids_ Dubious ORF; Protein of unknown function									
OG0006190	orf19.7252 orf19.7252 CGDID_CAL0003898 COORDS_Ca21chr1_C_albicans_SC5314_3164929-3165252W_ translated using codon table 12 _107 amino acids_ Dubious ORF; Protein of unknown function									
OG0006191	orf19.5137 orf19.5137 CGDID_CAL0002554 COORDS_Ca21chr7_C_albicans_SC5314_692629-692252C_ translated using codon table 12 _125 amino acids_ Dubious ORF; Protein of unknown function; regulated by Sef1_ Sfu1_ Hap43; Spider biofilm repressed									
OG0006192	orf19.3671 orf19.3671 CGDID_CAL0000447 COORDS_Ca21chr1_C_albicans_SC5314_451648-451304C_ translated using codon table 12 _114 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006193	orf19.1106 orf19.1106 CGDID_CAL0001856 COORDS_Ca21chr5_C_albicans_SC5314_850948-848594C_ translated using codon table 12 _784 amino acids_ Uncharacterized ORF; Protein with Mob2p-dependent hyphal regulation; fluconazole-induced									
OG0006194	orf19.5223 orf19.5223 CGDID_CAL0003521 COORDS_Ca21chr1_C_albicans_SC5314_2703785-2703387C_ translated using codon table 12 _132 amino acids_ Dubious ORF; Protein of unknown function									
OG0006195	orf19.6528 orf19.6528 CGDID_CAL0003128 COORDS_Ca21chr7_C_albicans_SC5314_412924-412313C_ translated using codon table 12 _203 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006196	orf19.389 orf19.389 CGDID_CAL0004931 COORDS_Ca21chr1_C_albicans_SC5314_1856338-1855967C_ translated using codon table 12 _123 amino acids_ Uncharacterized ORF; Protein of unknown function; Hap43-induced gene									
OG0006197	orf19.1447 orf19.1447 CGDID_CAL0004598 COORDS_Ca21chr2_C_albicans_SC5314_256196-254580C_ translated using codon table 12 _538 amino acids_ Uncharacterized ORF; Protein of unknown function									
OG0006198	orf19.3868 orf19.3868 CGDID_CAL0002125 COORDS_Ca21chrR_C_albicans_SC5314_1316235-1315882C_ translated using codon table 12 _117 amino acids_ Dubious ORF; Dubious open reading frame									
OG0006199	orf19.937 orf19.937 CGDID_CAL0003662 COORDS_Ca21chr5_C_albicans_SC5314_105031-105504W_ translated using codon table 12 _157 amino acids_ Dubious ORF; Protein of unknown function									
OG0006200	orf19.1506 orf19.1506 CGDID_CAL0005387 COORDS_Ca21chr2_C_albicans_SC5314_364623-364198C_ translated using codon table 12 _141 amino acids_ Dubious ORF; Protein of unknown function									
OG0006201	orf19.1791 orf19.1791 CGDID_CAL0000994 COORDS_Ca21chr4_C_albicans_SC5314_1161801-1160326C_ translated using codon table 12 _491 amino acids_ Uncharacterized ORF; Putative protein with a predicted role in 60S ribosomal subunit biogenesis; Hap43p-induced gene; ortholog of <i									
OG0006202	S. cerevisiae</i									
OG0006203	orf19.5472 orf19.5472 CGDID_CAF0007048 COORDS_Ca21chr3_C_albicans_SC5314_5971-7002W_ translated using codon table 12 _343 amino acids_ Dubious ORF; Protein of unknown function									
OG0006204	orf19.3140 orf19.3140 CGDID_CAL0002307 COORDS_Ca21chr4_C_albicans_SC5314_1495160-1495489W_ translated using codon table 12 _109 amino acids_ Dubious ORF; Protein of unknown function									
