xp_id,locus_tag
XP_451056.1,KLLA0_A01309g
XP_451057.1,KLLA0_A01320g
XP_451058.1,KLLA0_A01342g
XP_451059.1,KLLA0_A01364g
XP_451060.1,KLLA0_A01386g
XP_451061.1,KLLA0_A01408g
XP_451062.1,KLLA0_A01430g
XP_451063.1,KLLA0_A01452g
XP_451064.1,KLLA0_A01474g
XP_451065.1,KLLA0_A01496g
XP_451066.1,KLLA0_A01518g
XP_451067.1,KLLA0_A01551g
XP_451068.1,KLLA0_A01573g
XP_451070.1,KLLA0_A01606g
XP_451071.1,KLLA0_A01628g
XP_451072.1,KLLA0_A01650g
XP_451073.1,KLLA0_A01672g
XP_451074.1,KLLA0_A01694g
XP_451076.1,KLLA0_A01738g
XP_451077.1,KLLA0_A01760g
XP_451078.1,KLLA0_A01782g
XP_451079.1,KLLA0_A01804g
XP_451080.1,KLLA0_A01826g
XP_451081.1,KLLA0_A01848g
XP_451082.1,KLLA0_A01870g
XP_451084.1,KLLA0_A01903g
XP_451085.1,KLLA0_A01925g
XP_451086.1,KLLA0_A01947g
XP_451087.1,KLLA0_A01969g
XP_451088.1,KLLA0_A01991g
XP_451089.1,KLLA0_A02013g
XP_451090.1,KLLA0_A02035g
XP_451091.1,KLLA0_A02057g
XP_451092.1,KLLA0_A02079g
XP_451093.1,KLLA0_A02101g
XP_451094.1,KLLA0_A02123g
XP_451095.1,KLLA0_A02145g
XP_451096.1,KLLA0_A02167g
XP_451097.1,KLLA0_A02189g
XP_451098.1,KLLA0_A02211g
XP_451099.1,KLLA0_A02233g
XP_451100.1,KLLA0_A02255g
XP_451101.1,KLLA0_A02277g
XP_451102.1,KLLA0_A02299g
XP_451103.1,KLLA0_A02321g
XP_451104.1,KLLA0_A02343g
XP_451105.1,KLLA0_A02365g
XP_451106.1,KLLA0_A02387g
XP_451107.1,KLLA0_A02431g
XP_451108.1,KLLA0_A02453g
XP_451109.1,KLLA0_A02475g
XP_451110.1,KLLA0_A02497g
XP_451111.1,KLLA0_A02519g
XP_451112.1,KLLA0_A02541g
XP_451113.1,KLLA0_A02563g
XP_451114.1,KLLA0_A02585g
XP_451115.1,KLLA0_A02607g
XP_451116.1,KLLA0_A02629g
XP_451117.1,KLLA0_A02651g
XP_451118.1,KLLA0_A02673g
XP_451119.1,KLLA0_A02695g
XP_451120.1,KLLA0_A02717g
XP_451121.1,KLLA0_A02739g
XP_451122.1,KLLA0_A02761g
XP_451123.1,KLLA0_A02827g
XP_451124.1,KLLA0_A02849g
XP_451125.1,KLLA0_A02871g
XP_451126.1,KLLA0_A02893g
XP_451127.1,KLLA0_A02915g
XP_451128.1,KLLA0_A02937g
XP_451129.1,KLLA0_A02959g
XP_451130.1,KLLA0_A02981g
XP_451131.1,KLLA0_A03003g
XP_451132.1,KLLA0_A03025g
XP_451133.1,KLLA0_A03047g
XP_451134.1,KLLA0_A03069g
XP_451135.1,KLLA0_A03091g
XP_451136.1,KLLA0_A03113g
XP_451137.1,KLLA0_A03135g
XP_451138.1,KLLA0_A03157g
XP_451139.1,KLLA0_A03179g
XP_451140.1,KLLA0_A03201g
XP_451141.1,KLLA0_A03223g
XP_451142.1,KLLA0_A03245g
XP_451143.2,KLLA0_A03267g
XP_451144.1,KLLA0_A03289g
XP_451145.1,KLLA0_A03311g
XP_451146.1,KLLA0_A03333g
XP_451147.1,KLLA0_A03355g
XP_451148.1,KLLA0_A03377g
XP_451149.1,KLLA0_A03399g
XP_451150.1,KLLA0_A03421g
XP_451151.1,KLLA0_A03443g
XP_451152.1,KLLA0_A03465g
XP_451153.2,KLLA0_A03487g
XP_451154.1,KLLA0_A03509g
XP_451155.1,KLLA0_A03531g
XP_451156.1,KLLA0_A03553g
XP_451157.1,KLLA0_A03575g
XP_451158.1,KLLA0_A03597g
XP_451159.1,KLLA0_A03619g
XP_451160.1,KLLA0_A03641g
XP_451161.1,KLLA0_A03663g
XP_451163.1,KLLA0_A03696g
XP_451164.1,KLLA0_A03718g
XP_451165.1,KLLA0_A03740g
XP_451166.1,KLLA0_A03806g
XP_451170.1,KLLA0_A03883g
XP_451171.1,KLLA0_A03905g
XP_451173.1,KLLA0_A03938g
XP_451174.2,KLLA0_A03960g
XP_451175.1,KLLA0_A03982g
XP_451177.1,KLLA0_A04015g
XP_451178.1,KLLA0_A04037g
XP_451179.1,KLLA0_A04059g
XP_451180.1,KLLA0_A04081g
XP_451181.1,KLLA0_A04103g
XP_451182.1,KLLA0_A04125g
XP_451183.1,KLLA0_A04147g
XP_451184.1,KLLA0_A04169g
XP_451185.1,KLLA0_A04191g
XP_451186.1,KLLA0_A04213g
XP_451187.1,KLLA0_A04235g
XP_451188.1,KLLA0_A04301g
XP_451189.1,KLLA0_A04323g
XP_451190.1,KLLA0_A04345g
XP_451191.1,KLLA0_A04367g
XP_451192.1,KLLA0_A04389g
XP_451193.1,KLLA0_A04411g
XP_451194.1,KLLA0_A04433g
XP_451197.1,KLLA0_A04499g
XP_451198.1,KLLA0_A04521g
XP_451199.1,KLLA0_A04543g
XP_451200.1,KLLA0_A04565g
XP_451201.1,KLLA0_A04587g
XP_451202.1,KLLA0_A04609g
XP_002999346.1,KLLA0_A04620g
XP_451203.1,KLLA0_A04631g
XP_451204.1,KLLA0_A04653g
XP_451206.1,KLLA0_A04708g
XP_451207.1,KLLA0_A04730g
XP_451208.1,KLLA0_A04752g
XP_451209.1,KLLA0_A04774g
XP_451210.1,KLLA0_A04796g
XP_451211.1,KLLA0_A04818g
XP_451212.2,KLLA0_A04840g
XP_451213.1,KLLA0_A04862g
XP_451214.1,KLLA0_A04884g
XP_451215.1,KLLA0_A04906g
XP_451216.1,KLLA0_A04928g
XP_451218.1,KLLA0_A04961g
XP_451219.1,KLLA0_A04983g
XP_451220.1,KLLA0_A05005g
XP_451221.1,KLLA0_A05027g
XP_451222.1,KLLA0_A05049g
XP_451223.1,KLLA0_A05071g
XP_451224.1,KLLA0_A05093g
XP_451225.1,KLLA0_A05115g
XP_451226.1,KLLA0_A05137g
XP_451227.1,KLLA0_A05159g
XP_451228.1,KLLA0_A05181g
XP_451229.1,KLLA0_A05203g
XP_451230.1,KLLA0_A05225g
XP_451231.2,KLLA0_A05247g
XP_451232.1,KLLA0_A05258g
XP_451233.1,KLLA0_A05280g
XP_451234.1,KLLA0_A05302g
XP_451235.1,KLLA0_A05324g
XP_451236.1,KLLA0_A05346g
XP_451237.1,KLLA0_A05368g
XP_451238.1,KLLA0_A05390g
XP_451239.1,KLLA0_A05412g
XP_451240.1,KLLA0_A05434g
XP_451241.1,KLLA0_A05456g
XP_451242.1,KLLA0_A05478g
XP_451243.1,KLLA0_A05500g
XP_002999347.1,KLLA0_A05511g
XP_451244.1,KLLA0_A05522g
XP_451245.1,KLLA0_A05544g
XP_451246.1,KLLA0_A05566g
XP_451249.1,KLLA0_A05621g
XP_451250.1,KLLA0_A05643g
XP_451251.1,KLLA0_A05665g
XP_451252.1,KLLA0_A05687g
XP_451253.1,KLLA0_A05700g
XP_451254.1,KLLA0_A05709g
XP_451255.1,KLLA0_A05731g
XP_451256.1,KLLA0_A05753g
XP_451257.1,KLLA0_A05775g
XP_451258.1,KLLA0_A05797g
XP_451259.1,KLLA0_A05819g
XP_451260.1,KLLA0_A05841g
XP_002999348.1,KLLA0_A05852g
XP_451261.1,KLLA0_A05863g
XP_451262.1,KLLA0_A05885g
XP_451263.1,KLLA0_A05907g
XP_451264.1,KLLA0_A05929g
XP_451265.1,KLLA0_A05951g
XP_451266.1,KLLA0_A05973g
XP_451268.1,KLLA0_A06017g
XP_451269.1,KLLA0_A06039g
XP_451270.1,KLLA0_A06061g
XP_451271.1,KLLA0_A06083g
XP_451272.1,KLLA0_A06105g
XP_451273.1,KLLA0_A06127g
XP_451274.1,KLLA0_A06149g
XP_451275.1,KLLA0_A06171g
XP_451276.1,KLLA0_A06193g
XP_451277.1,KLLA0_A06215g
XP_451278.1,KLLA0_A06237g
XP_451279.1,KLLA0_A06259g
XP_451280.1,KLLA0_A06281g
XP_451281.1,KLLA0_A06303g
XP_451283.1,KLLA0_A06336g
XP_451285.1,KLLA0_A06402g
XP_451286.1,KLLA0_A06424g
XP_451287.1,KLLA0_A06446g
XP_451288.1,KLLA0_A06468g
XP_451289.2,KLLA0_A06490g
XP_451290.1,KLLA0_A06512g
XP_451291.1,KLLA0_A06534g
XP_451292.1,KLLA0_A06556g
XP_451293.1,KLLA0_A06578g
XP_451294.1,KLLA0_A06600g
XP_451295.1,KLLA0_A06622g
XP_451296.1,KLLA0_A06644g
XP_451297.1,KLLA0_A06666g
XP_451298.1,KLLA0_A06688g
XP_451299.1,KLLA0_A06710g
XP_451300.1,KLLA0_A06732g
XP_451301.1,KLLA0_A06754g
XP_451302.1,KLLA0_A06776g
XP_451303.1,KLLA0_A06798g
XP_451304.1,KLLA0_A06820g
XP_451305.1,KLLA0_A06842g
XP_451306.1,KLLA0_A06886g
XP_451307.1,KLLA0_A06930g
XP_451308.1,KLLA0_A06952g
XP_451309.1,KLLA0_A06974g
XP_451310.1,KLLA0_A06996g
XP_451311.1,KLLA0_A07018g
XP_451312.1,KLLA0_A07040g
XP_002999349.1,KLLA0_A07051g
XP_451313.1,KLLA0_A07062g
XP_451314.1,KLLA0_A07084g
XP_451315.1,KLLA0_A07106g
XP_451316.1,KLLA0_A07128g
XP_451317.1,KLLA0_A07150g
XP_451318.1,KLLA0_A07172g
XP_451319.1,KLLA0_A07194g
XP_451321.1,KLLA0_A07227g
XP_451322.1,KLLA0_A07249g
XP_451323.1,KLLA0_A07271g
XP_451324.1,KLLA0_A07293g
XP_451325.1,KLLA0_A07315g
XP_451326.1,KLLA0_A07337g
XP_451327.1,KLLA0_A07359g
XP_451328.1,KLLA0_A07381g
XP_451329.1,KLLA0_A07403g
XP_451330.1,KLLA0_A07425g
XP_451331.1,KLLA0_A07447g
XP_451332.1,KLLA0_A07469g
XP_451333.1,KLLA0_A07491g
XP_451334.1,KLLA0_A07513g
XP_451335.1,KLLA0_A07535g
XP_451336.1,KLLA0_A07557g
XP_451337.1,KLLA0_A07579g
XP_451338.1,KLLA0_A07601g
XP_451339.1,KLLA0_A07623g
XP_451340.1,KLLA0_A07645g
XP_451341.1,KLLA0_A07667g
XP_451342.1,KLLA0_A07689g
XP_451343.1,KLLA0_A07711g
XP_451344.1,KLLA0_A07733g
XP_451345.1,KLLA0_A07755g
XP_451346.1,KLLA0_A07777g
XP_451347.2,KLLA0_A07799g
XP_451348.1,KLLA0_A07821g
XP_451349.1,KLLA0_A07843g
XP_451350.1,KLLA0_A07865g
XP_451351.1,KLLA0_A07887g
XP_451352.1,KLLA0_A07909g
XP_451353.1,KLLA0_A07931g
XP_451354.1,KLLA0_A07953g
XP_451355.1,KLLA0_A07975g
XP_451356.1,KLLA0_A07997g
XP_451357.1,KLLA0_A08019g
XP_451358.1,KLLA0_A08041g
XP_451359.1,KLLA0_A08063g
XP_451360.1,KLLA0_A08107g
XP_451361.1,KLLA0_A08129g
XP_451362.1,KLLA0_A08140g
XP_451363.1,KLLA0_A08162g
XP_451364.1,KLLA0_A08184g
XP_451365.1,KLLA0_A08206g
XP_451367.1,KLLA0_A08316g
XP_451368.1,KLLA0_A08338g
XP_451369.1,KLLA0_A08360g
XP_451370.1,KLLA0_A08382g
XP_451371.1,KLLA0_A08404g
XP_451372.1,KLLA0_A08426g
XP_451373.1,KLLA0_A08448g
XP_451374.1,KLLA0_A08470g
XP_451375.1,KLLA0_A08492g
XP_451376.1,KLLA0_A08536g
XP_451377.1,KLLA0_A08580g
XP_451378.2,KLLA0_A08602g
XP_451379.1,KLLA0_A08624g
XP_451380.1,KLLA0_A08646g
XP_451381.1,KLLA0_A08690g
XP_451382.1,KLLA0_A08712g
XP_451383.1,KLLA0_A08734g
XP_451384.2,KLLA0_A08756g
XP_451385.1,KLLA0_A08778g
XP_451386.1,KLLA0_A08800g
XP_451387.1,KLLA0_A08822g
XP_451388.1,KLLA0_A08844g
XP_451389.1,KLLA0_A08866g
XP_451390.1,KLLA0_A08888g
XP_451391.1,KLLA0_A08910g
XP_451392.1,KLLA0_A08932g
XP_451395.1,KLLA0_A09031g
XP_451397.1,KLLA0_A09075g
XP_451398.1,KLLA0_A09097g
XP_451399.1,KLLA0_A09119g
XP_451400.1,KLLA0_A09141g
XP_451402.1,KLLA0_A09185g
XP_451403.1,KLLA0_A09207g
XP_451404.1,KLLA0_A09229g
XP_451405.1,KLLA0_A09251g
XP_451406.1,KLLA0_A09295g
XP_451407.1,KLLA0_A09317g
XP_451408.1,KLLA0_A09339g
XP_451409.1,KLLA0_A09361g
XP_451410.1,KLLA0_A09383g
XP_451411.1,KLLA0_A09405g
XP_451412.1,KLLA0_A09427g
XP_451413.1,KLLA0_A09449g
XP_451414.1,KLLA0_A09471g
XP_451415.1,KLLA0_A09493g
XP_451416.1,KLLA0_A09515g
XP_451417.1,KLLA0_A09537g
XP_451418.1,KLLA0_A09559g
XP_451419.1,KLLA0_A09603g
XP_451420.1,KLLA0_A09625g
XP_451421.1,KLLA0_A09647g
XP_451422.1,KLLA0_A09669g
XP_451423.1,KLLA0_A09691g
XP_451424.1,KLLA0_A09713g
XP_451425.1,KLLA0_A09735g
XP_451426.1,KLLA0_A09757g
XP_451427.1,KLLA0_A09779g
XP_451428.1,KLLA0_A09801g
XP_451429.1,KLLA0_A09823g
XP_451430.1,KLLA0_A09845g
XP_451431.1,KLLA0_A09867g
XP_451432.1,KLLA0_A09889g
XP_451433.1,KLLA0_A09911g
XP_451434.1,KLLA0_A09933g
XP_451435.1,KLLA0_A09955g
XP_451436.1,KLLA0_A09977g
XP_451437.1,KLLA0_A09999g
XP_451438.1,KLLA0_A10021g
XP_451439.1,KLLA0_A10043g
XP_451440.1,KLLA0_A10065g
XP_451441.1,KLLA0_A10087g
XP_451442.1,KLLA0_A10109g
XP_451443.1,KLLA0_A10131g
XP_451444.1,KLLA0_A10153g
XP_451445.1,KLLA0_A10175g
XP_451446.1,KLLA0_A10197g
XP_451447.1,KLLA0_A10219g
XP_451448.1,KLLA0_A10241g
XP_451449.1,KLLA0_A10263g
XP_451450.1,KLLA0_A10285g
XP_451451.1,KLLA0_A10307g
XP_451452.1,KLLA0_A10329g
XP_451453.1,KLLA0_A10351g
XP_451454.1,KLLA0_A10373g
XP_451455.1,KLLA0_A10395g
XP_451456.1,KLLA0_A10417g
XP_451457.1,KLLA0_A10439g
XP_451458.1,KLLA0_A10461g
XP_451459.1,KLLA0_A10483g
XP_451460.1,KLLA0_A10505g
XP_451461.1,KLLA0_A10527g
XP_451462.1,KLLA0_A10549g
XP_451463.1,KLLA0_A10571g
XP_451464.1,KLLA0_A10593g
XP_451465.1,KLLA0_A10637g
XP_451466.1,KLLA0_A10659g
XP_451467.1,KLLA0_A10681g
XP_451468.1,KLLA0_A10703g
XP_451469.1,KLLA0_A10769g
XP_451470.1,KLLA0_A10791g
XP_451471.1,KLLA0_A10813g
XP_451472.1,KLLA0_A10835g
XP_451473.1,KLLA0_A10857g
XP_451474.1,KLLA0_A10901g
XP_451475.1,KLLA0_A10923g
XP_451476.1,KLLA0_A10945g
XP_451477.1,KLLA0_A10967g
XP_451478.1,KLLA0_A10989g
XP_451479.1,KLLA0_A11011g
XP_451480.1,KLLA0_A11033g
XP_451481.1,KLLA0_A11044g
XP_451482.1,KLLA0_A11066g
XP_451483.1,KLLA0_A11088g
XP_451484.1,KLLA0_A11110g
XP_451485.1,KLLA0_A11132g
XP_451486.1,KLLA0_A11176g
XP_451487.1,KLLA0_A11198g
XP_002999350.1,KLLA0_A11209g
XP_451488.1,KLLA0_A11220g
XP_451489.1,KLLA0_A11242g
XP_451490.1,KLLA0_A11286g
XP_451491.1,KLLA0_A11308g
XP_451492.1,KLLA0_A11330g
XP_451493.1,KLLA0_A11352g
XP_451494.1,KLLA0_A11374g
XP_451495.1,KLLA0_A11396g
XP_451497.1,KLLA0_A11440g
XP_451498.1,KLLA0_A11462g
XP_451499.1,KLLA0_A11484g
XP_451500.1,KLLA0_A11506g
XP_451501.1,KLLA0_A11528g
XP_451502.1,KLLA0_A11550g
XP_451503.1,KLLA0_A11572g
XP_451504.1,KLLA0_A11594g
XP_002999351.1,KLLA0_A11605g
XP_451505.1,KLLA0_A11616g
XP_451506.1,KLLA0_A11638g
XP_451507.1,KLLA0_A11660g
XP_451508.1,KLLA0_A11682g
XP_451509.1,KLLA0_A11704g
XP_451511.1,KLLA0_A11748g
XP_451512.1,KLLA0_A11770g
XP_451513.1,KLLA0_A11792g
XP_451514.1,KLLA0_A11814g
XP_451515.1,KLLA0_A11836g
XP_451516.1,KLLA0_A11858g
XP_451519.1,KLLA0_A11913g
XP_451520.1,KLLA0_A11935g
XP_451521.1,KLLA0_A11957g
XP_451522.1,KLLA0_A11979g
XP_451523.2,KLLA0_A12001g
XP_451524.1,KLLA0_A12045g
XP_451525.1,KLLA0_A12067g
XP_451526.1,KLLA0_A12089g
XP_451535.2,KLLA0_B00143g
XP_002999352.1,KLLA0_B00166g
XP_451537.1,KLLA0_B00187g
XP_451539.1,KLLA0_B00220g
XP_451540.1,KLLA0_B00242g
XP_451541.1,KLLA0_B00264g
XP_451542.1,KLLA0_B00286g
XP_451543.1,KLLA0_B00308g
XP_451545.1,KLLA0_B00352g
XP_451547.1,KLLA0_B00385g
XP_451548.1,KLLA0_B00407g
XP_451549.1,KLLA0_B00429g
XP_451550.1,KLLA0_B00451g
XP_451551.1,KLLA0_B00473g
XP_451552.1,KLLA0_B00495g
XP_451553.1,KLLA0_B00517g
XP_451554.1,KLLA0_B00539g
XP_451555.1,KLLA0_B00561g
XP_451556.1,KLLA0_B00583g
XP_451558.1,KLLA0_B00627g
XP_451559.1,KLLA0_B00649g
XP_451560.2,KLLA0_B00671g
XP_451561.1,KLLA0_B00693g
XP_451562.1,KLLA0_B00715g
XP_451563.1,KLLA0_B00737g
XP_451564.1,KLLA0_B00759g
XP_451565.1,KLLA0_B00781g
XP_451566.1,KLLA0_B00803g
XP_451567.1,KLLA0_B00825g
XP_451568.1,KLLA0_B00847g
XP_451569.1,KLLA0_B00869g
XP_451570.1,KLLA0_B00891g
XP_451571.1,KLLA0_B00913g
XP_451572.1,KLLA0_B00935g
XP_451573.1,KLLA0_B00957g
XP_451574.1,KLLA0_B00979g
XP_451575.1,KLLA0_B01001g
XP_451576.1,KLLA0_B01023g
XP_451577.1,KLLA0_B01045g
XP_451578.1,KLLA0_B01067g
XP_451579.1,KLLA0_B01089g
XP_451580.1,KLLA0_B01111g
XP_451581.1,KLLA0_B01133g
XP_451582.1,KLLA0_B01155g
XP_451583.1,KLLA0_B01177g
XP_451584.1,KLLA0_B01199g
XP_451585.1,KLLA0_B01221g
XP_451586.1,KLLA0_B01243g
XP_451587.1,KLLA0_B01265g
XP_451588.1,KLLA0_B01287g
XP_451589.1,KLLA0_B01309g
XP_451590.1,KLLA0_B01331g
XP_451591.1,KLLA0_B01353g
XP_451592.1,KLLA0_B01375g
XP_451593.1,KLLA0_B01397g
XP_451595.1,KLLA0_B01452g
XP_451596.2,KLLA0_B01474g
XP_451597.1,KLLA0_B01496g
XP_451598.1,KLLA0_B01518g
XP_451599.1,KLLA0_B01540g
XP_451600.1,KLLA0_B01562g
XP_451601.1,KLLA0_B01584g
XP_451602.1,KLLA0_B01606g
XP_451603.1,KLLA0_B01628g
XP_451604.1,KLLA0_B01650g
XP_451605.1,KLLA0_B01672g
XP_451606.2,KLLA0_B01694g
XP_451608.1,KLLA0_B01738g
XP_451609.1,KLLA0_B01760g
XP_451610.1,KLLA0_B01782g
XP_451611.1,KLLA0_B01804g
XP_451612.1,KLLA0_B01826g
XP_451613.1,KLLA0_B01848g
XP_451614.1,KLLA0_B01870g
XP_451615.1,KLLA0_B01892g
XP_451616.1,KLLA0_B01914g
XP_451617.1,KLLA0_B01936g
XP_451618.1,KLLA0_B01958g
XP_451619.1,KLLA0_B01980g
XP_451620.1,KLLA0_B02002g
XP_451621.1,KLLA0_B02024g
XP_451622.1,KLLA0_B02046g
XP_451623.1,KLLA0_B02068g
XP_451624.1,KLLA0_B02090g
XP_451625.1,KLLA0_B02112g
XP_451626.1,KLLA0_B02134g
XP_451627.1,KLLA0_B02156g
XP_451628.1,KLLA0_B02178g
XP_451629.1,KLLA0_B02200g
XP_451630.1,KLLA0_B02222g
XP_451631.1,KLLA0_B02244g
XP_451632.1,KLLA0_B02266g
XP_451633.1,KLLA0_B02288g
XP_451634.1,KLLA0_B02310g
XP_451635.1,KLLA0_B02332g
XP_451636.1,KLLA0_B02354g
XP_451637.1,KLLA0_B02376g
XP_451638.1,KLLA0_B02398g
XP_451639.1,KLLA0_B02420g
XP_451640.1,KLLA0_B02442g
XP_451641.2,KLLA0_B02464g
XP_451644.1,KLLA0_B02519g
XP_451645.1,KLLA0_B02541g
XP_451646.1,KLLA0_B02563g
XP_451647.1,KLLA0_B02585g
XP_451648.1,KLLA0_B02607g
XP_451649.1,KLLA0_B02629g
XP_451650.1,KLLA0_B02651g
XP_451651.1,KLLA0_B02673g
XP_451652.1,KLLA0_B02695g
XP_451653.1,KLLA0_B02717g
XP_451654.1,KLLA0_B02739g
XP_451656.1,KLLA0_B02783g
XP_451657.1,KLLA0_B02805g
XP_451658.1,KLLA0_B02827g
XP_451659.1,KLLA0_B02849g
XP_451660.1,KLLA0_B02871g
XP_451661.1,KLLA0_B02893g
XP_451662.1,KLLA0_B02915g
XP_451663.1,KLLA0_B02937g
XP_451664.1,KLLA0_B02959g
XP_451665.1,KLLA0_B02981g
XP_451666.1,KLLA0_B03003g
XP_451667.1,KLLA0_B03025g
XP_451668.1,KLLA0_B03047g
XP_451669.1,KLLA0_B03069g
XP_451670.1,KLLA0_B03091g
XP_451671.1,KLLA0_B03113g
XP_451672.1,KLLA0_B03135g
XP_451673.1,KLLA0_B03157g
XP_451674.1,KLLA0_B03179g
XP_451676.1,KLLA0_B03212g
XP_451677.1,KLLA0_B03234g
XP_451679.1,KLLA0_B03267g
XP_451680.1,KLLA0_B03289g
XP_451681.1,KLLA0_B03311g
XP_451682.1,KLLA0_B03333g
XP_451683.1,KLLA0_B03355g
XP_451684.1,KLLA0_B03377g
XP_451687.1,KLLA0_B03432g
XP_451688.1,KLLA0_B03454g
XP_451689.1,KLLA0_B03476g
XP_451690.1,KLLA0_B03498g
XP_451691.1,KLLA0_B03520g
XP_451692.1,KLLA0_B03542g
XP_451693.1,KLLA0_B03564g
XP_451694.1,KLLA0_B03586g
XP_451695.1,KLLA0_B03608g
XP_451697.1,KLLA0_B03652g
XP_451698.1,KLLA0_B03674g
XP_451699.1,KLLA0_B03718g
XP_451700.1,KLLA0_B03740g
XP_451701.1,KLLA0_B03762g
XP_451702.1,KLLA0_B03784g
XP_451703.1,KLLA0_B03806g
XP_451704.1,KLLA0_B03828g
XP_451705.1,KLLA0_B03850g
XP_451706.2,KLLA0_B03872g
XP_451707.1,KLLA0_B03894g
XP_451708.1,KLLA0_B03916g
XP_002999353.1,KLLA0_B03927g
XP_451709.1,KLLA0_B03938g
XP_451711.1,KLLA0_B03982g
XP_451712.1,KLLA0_B04004g
XP_451713.1,KLLA0_B04026g
XP_451714.1,KLLA0_B04048g
XP_451715.1,KLLA0_B04070g
XP_451716.1,KLLA0_B04092g
XP_451717.1,KLLA0_B04136g
XP_451718.1,KLLA0_B04158g
XP_451719.1,KLLA0_B04180g
XP_451720.1,KLLA0_B04202g
XP_451721.1,KLLA0_B04224g
XP_451722.1,KLLA0_B04246g
XP_451723.1,KLLA0_B04290g
XP_451724.1,KLLA0_B04312g
XP_451725.1,KLLA0_B04334g
XP_451726.1,KLLA0_B04356g
XP_451727.1,KLLA0_B04378g
XP_451728.1,KLLA0_B04400g
XP_451729.1,KLLA0_B04422g
XP_451730.1,KLLA0_B04444g
XP_451731.1,KLLA0_B04455g
XP_002999354.1,KLLA0_B04466g
XP_451732.1,KLLA0_B04477g
XP_451733.1,KLLA0_B04499g
XP_451734.1,KLLA0_B04521g
XP_451735.1,KLLA0_B04543g
XP_451736.1,KLLA0_B04565g
XP_451737.1,KLLA0_B04587g
XP_451738.2,KLLA0_B04609g
XP_451739.1,KLLA0_B04620g
XP_451740.1,KLLA0_B04642g
XP_451741.1,KLLA0_B04664g
XP_451742.1,KLLA0_B04686g
XP_451743.1,KLLA0_B04708g
XP_451744.1,KLLA0_B04730g
XP_451745.1,KLLA0_B04752g
XP_451746.1,KLLA0_B04774g
XP_451747.1,KLLA0_B04796g
XP_451748.1,KLLA0_B04818g
XP_451749.1,KLLA0_B04840g
XP_451750.1,KLLA0_B04862g
XP_451751.1,KLLA0_B04884g
XP_451752.1,KLLA0_B04906g
XP_451753.1,KLLA0_B04928g
XP_451754.1,KLLA0_B04950g
XP_451755.1,KLLA0_B04972g
XP_451756.1,KLLA0_B04994g
XP_451757.1,KLLA0_B05016g
XP_451758.1,KLLA0_B05038g
XP_451759.1,KLLA0_B05060g
XP_451760.1,KLLA0_B05082g
XP_451762.1,KLLA0_B05115g
XP_451763.1,KLLA0_B05137g
XP_451764.1,KLLA0_B05159g
XP_451765.1,KLLA0_B05181g
XP_451766.1,KLLA0_B05203g
XP_451767.1,KLLA0_B05225g
XP_451768.1,KLLA0_B05247g
XP_451769.1,KLLA0_B05269g
XP_451775.1,KLLA0_B05379g
XP_451777.1,KLLA0_B05423g
XP_451778.1,KLLA0_B05445g
XP_451779.1,KLLA0_B05467g
XP_451780.1,KLLA0_B05489g
XP_451781.1,KLLA0_B05511g
XP_451782.1,KLLA0_B05533g
XP_451783.1,KLLA0_B05555g
XP_451784.1,KLLA0_B05577g
XP_451785.1,KLLA0_B05599g
XP_451786.1,KLLA0_B05621g
XP_451787.2,KLLA0_B05643g
