OG,gene_id,qng_id,cagl_id,in_orthogroup
NA,GWK60_C02915,QNG12657.1,CAGL0C03311g,FALSE
NA,GWK60_C03179,QNG12669.1,CAGL0C03575g,FALSE
NA,GWK60_C03333,NA,NA,FALSE
NA,GWK60_C03421,NA,NA,FALSE
NA,GWK60_C03443,NA,NA,FALSE
NA,GWK60_C03619,NA,NA,FALSE
NA,GWK60_C03751,QNG12691.1,CAGL0C04213g,FALSE
NA,GWK60_C03773,QNG12692.1,CAGL0C04235g,FALSE
NA,GWK60_C04037,NA,NA,FALSE
NA,GWK60_C04103,QNG12706.1,CAGL0C04587g,FALSE
NA,GWK60_C04169,NA,NA,FALSE
NA,GWK60_C04257,QNG12712.1,CAGL0C04763g,FALSE
NA,GWK60_C05093,QNG12750.1,CAGL0C05577g,FALSE
NA,GWK60_D00253,QNG12765.1,CAGL0L00473g,FALSE
NA,GWK60_D00429,NA,NA,FALSE
NA,GWK60_D00495,QNG12775.1,CAGL0D00396g,FALSE
NA,GWK60_D00957,QNG12796.1,CAGL0D00869g,FALSE
NA,GWK60_D01023,QNG12799.1,CAGL0D00902g,FALSE
NA,GWK60_D01309,QNG12812.1,CAGL0D01210g,FALSE
NA,GWK60_D01353,QNG12814.1,CAGL0D01254g,FALSE
NA,GWK60_D01375,QNG12815.1,CAGL0D01265g,FALSE
NA,GWK60_D01595,QNG12825.1,CAGL0D01474g,FALSE
NA,GWK60_D01925,QNG12840.1,CAGL0D01804g,FALSE
NA,GWK60_D01969,QNG12842.1,CAGL0D01837g,FALSE
NA,GWK60_D01991,NA,NA,FALSE
NA,GWK60_D02409,QNG12861.1,CAGL0D02244g,FALSE
NA,GWK60_D02915,QNG12884.1,CAGL0D02761g,FALSE
NA,GWK60_D03531,NA,NA,FALSE
NA,GWK60_D03641,NA,NA,FALSE
NA,GWK60_D03795,QNG12922.1,CAGL0D03630g,FALSE
NA,GWK60_D04015,QNG12932.1,CAGL0D03850g,FALSE
NA,GWK60_D04169,QNG12939.1,CAGL0D04004g,FALSE
NA,GWK60_D04389,NA,NA,FALSE
NA,GWK60_D04499,NA,NA,FALSE
NA,GWK60_D04719,NA,NA,FALSE
NA,GWK60_D04763,NA,NA,FALSE
NA,GWK60_D04807,QNG12964.1,CAGL0D04642g,FALSE
NA,GWK60_D04829,NA,NA,FALSE
NA,GWK60_D05005,QNG12972.1,CAGL0D04834g,FALSE
NA,GWK60_D05027,QNG12973.1,CAGL0D04840g,FALSE
NA,GWK60_D05093,NA,NA,FALSE
NA,GWK60_D05225,NA,NA,FALSE
NA,GWK60_D05269,QNG12982.1,CAGL0D05082g,FALSE
NA,GWK60_D05291,QNG12983.1,CAGL0D05104g,FALSE
NA,GWK60_D05313,NA,NA,FALSE
NA,GWK60_D05599,NA,NA,FALSE
NA,GWK60_D05819,QNG13005.1,CAGL0D05632g,FALSE
NA,GWK60_D05841,QNG13006.1,CAGL0D05654g,FALSE
NA,GWK60_D05907,QNG13009.1,CAGL0D05720g,FALSE
NA,GWK60_D06149,NA,NA,FALSE
NA,GWK60_D06237,NA,NA,FALSE
NA,GWK60_D06281,NA,NA,FALSE
NA,GWK60_D06413,QNG13029.1,CAGL0D06226g,FALSE
NA,GWK60_D06435,NA,NA,FALSE
NA,GWK60_D06545,NA,NA,FALSE
NA,GWK60_D06567,QNG13034.1,CAGL0D06380g,FALSE
NA,GWK60_D06721,QNG13041.1,CAGL0D06534g,FALSE
NA,GWK60_E00055,NA,NA,FALSE
NA,GWK60_E00099,NA,NA,FALSE
NA,GWK60_E00143,QNG13054.1,CAGL0E00363g,FALSE
NA,GWK60_E00605,NA,NA,FALSE
NA,GWK60_E01441,NA,NA,FALSE
NA,GWK60_E01925,QNG13133.1,CAGL0E02145g,FALSE
NA,GWK60_E01991,QNG13136.1,CAGL0E02211g,FALSE
NA,GWK60_E02035,QNG13138.1,CAGL0E02255g,FALSE
NA,GWK60_E02057,NA,NA,FALSE
NA,GWK60_E02849,NA,NA,FALSE
NA,GWK60_E03069,NA,NA,FALSE
NA,GWK60_E03135,NA,NA,FALSE
NA,GWK60_E03223,QNG13188.1,CAGL0E03498g,FALSE
NA,GWK60_E03267,QNG13190.1,CAGL0E03542g,FALSE
NA,GWK60_E03311,NA,NA,FALSE
NA,GWK60_E03421,QNG13196.1,CAGL0E03718g,FALSE
NA,GWK60_E03707,QNG13209.1,CAGL0E04004g,FALSE
NA,GWK60_E03971,QNG13221.1,CAGL0E04290g,FALSE
NA,GWK60_E04147,QNG13229.1,CAGL0E04466g,FALSE
NA,GWK60_E04257,QNG13234.1,CAGL0E04554g,FALSE
NA,GWK60_E04433,NA,NA,FALSE
NA,GWK60_E05203,NA,NA,FALSE
NA,GWK60_E05621,QNG13294.1,CAGL0E05984g,FALSE
NA,GWK60_E05731,QNG13299.1,CAGL0E06094g,FALSE
NA,GWK60_E05929,QNG13308.1,CAGL0E06292g,FALSE
NA,GWK60_E06039,QNG13313.1,CAGL0E06402g,FALSE
NA,GWK60_F00209,QNG13334.1,CAGL0F00341g,FALSE
NA,GWK60_F00253,NA,NA,FALSE
NA,GWK60_F00583,QNG13350.1,CAGL0F00715g,FALSE
NA,GWK60_F00825,QNG13361.1,CAGL0F01001g,FALSE
NA,GWK60_F01023,QNG13370.1,CAGL0F01221g,FALSE
NA,GWK60_F01111,NA,NA,FALSE
NA,GWK60_F01155,NA,NA,FALSE
NA,GWK60_F01639,QNG13396.1,CAGL0F01881g,FALSE
NA,GWK60_F01925,QNG13409.1,CAGL0F02167g,FALSE
NA,GWK60_F01947,NA,NA,FALSE
NA,GWK60_F02057,QNG13414.1,CAGL0F02343g,FALSE
NA,GWK60_F02123,NA,NA,FALSE
NA,GWK60_F02695,NA,NA,FALSE
NA,GWK60_F03091,NA,NA,FALSE
NA,GWK60_F03333,QNG13469.1,CAGL0F03641g,FALSE
NA,GWK60_F03663,QNG13484.1,CAGL0F03971g,FALSE
NA,GWK60_F03751,QNG13488.1,CAGL0F04092g,FALSE
NA,GWK60_F04279,NA,NA,FALSE
NA,GWK60_F04565,QNG13524.1,CAGL0F04961g,FALSE
NA,GWK60_F04807,NA,NA,FALSE
NA,GWK60_F04895,NA,NA,FALSE
NA,GWK60_F05335,QNG13558.1,CAGL0F05731g,FALSE
NA,GWK60_F05687,NA,NA,FALSE
NA,GWK60_F05775,NA,NA,FALSE
NA,GWK60_F05863,NA,NA,FALSE
NA,GWK60_F06281,QNG13598.1,CAGL0F06699g,FALSE
NA,GWK60_F06589,QNG13612.1,CAGL0F07007g,FALSE
NA,GWK60_F06765,NA,NA,FALSE
NA,GWK60_F06897,QNG13625.1,CAGL0F07359g,FALSE
NA,GWK60_F07887,NA,NA,FALSE
NA,GWK60_F08415,NA,NA,FALSE
NA,GWK60_F08635,QNG13702.1,CAGL0F09141g,FALSE
NA,GWK60_G00011,NA,NA,FALSE
NA,GWK60_G00033,QNG13708.1,CAGL0G00143g,FALSE
NA,GWK60_G00187,QNG13715.1,CAGL0G00297g,FALSE
NA,GWK60_G00495,NA,NA,FALSE
NA,GWK60_G00627,NA,NA,FALSE
NA,GWK60_G00693,QNG13736.1,CAGL0G00836g,FALSE
NA,GWK60_G00737,NA,NA,FALSE
NA,GWK60_G00979,QNG13748.1,CAGL0G01122g,FALSE
NA,GWK60_G01265,QNG13761.1,CAGL0G01408g,FALSE
NA,GWK60_G01375,NA,NA,FALSE
NA,GWK60_G01419,QNG13767.1,CAGL0G01562g,FALSE
NA,GWK60_G01507,NA,NA,FALSE
NA,GWK60_G01991,QNG13792.1,CAGL0G02123g,FALSE
NA,GWK60_G02013,QNG13793.1,CAGL0G02145g,FALSE
NA,GWK60_G02365,QNG13809.1,CAGL0G02519g,FALSE
NA,GWK60_G02739,QNG13826.1,CAGL0G02871g,FALSE
NA,GWK60_G02849,NA,NA,FALSE
NA,GWK60_G03553,QNG13862.1,CAGL0G03685g,FALSE
NA,GWK60_G03685,NA,NA,FALSE
NA,GWK60_G03817,QNG13873.1,CAGL0G03993g,FALSE
NA,GWK60_G04059,NA,NA,FALSE
NA,GWK60_G04103,NA,NA,FALSE
NA,GWK60_G04125,NA,NA,FALSE
NA,GWK60_G04565,QNG13904.1,CAGL0G04785g,FALSE
NA,GWK60_G04917,NA,NA,FALSE
NA,GWK60_G05269,QNG13935.1,CAGL0G05467g,FALSE
NA,GWK60_G05335,QNG13938.1,CAGL0G05522g,FALSE
NA,GWK60_G05357,QNG13939.1,CAGL0G05544g,FALSE
NA,GWK60_G05445,QNG13943.1,CAGL0G05632g,FALSE
NA,GWK60_G05533,QNG13947.1,CAGL0G05720g,FALSE
NA,GWK60_G05577,QNG13949.1,CAGL0G05764g,FALSE
NA,GWK60_G05797,QNG13959.1,CAGL0G05984g,FALSE
NA,GWK60_G05863,QNG13962.1,CAGL0G06050g,FALSE
NA,GWK60_G05995,NA,NA,FALSE
NA,GWK60_G06281,NA,NA,FALSE
NA,GWK60_G06435,QNG13986.1,CAGL0G06710g,FALSE
NA,GWK60_G06523,QNG13990.1,CAGL0G06798g,FALSE
NA,GWK60_G06611,QNG13994.1,CAGL0G06886g,FALSE
NA,GWK60_G06721,QNG13999.1,CAGL0G06996g,FALSE
NA,GWK60_G06875,NA,NA,FALSE
NA,GWK60_G07271,QNG14023.1,CAGL0G07557g,FALSE
NA,GWK60_G07359,QNG14027.1,CAGL0G07645g,FALSE
NA,GWK60_G07535,QNG14035.1,CAGL0G07821g,FALSE
NA,GWK60_G07843,QNG14049.1,CAGL0G08107g,FALSE
NA,GWK60_G08261,NA,NA,FALSE
NA,GWK60_G08569,QNG14081.1,CAGL0G08866g,FALSE
NA,GWK60_G08679,NA,NA,FALSE
NA,GWK60_G08767,QNG14089.1,CAGL0G09086g,FALSE
NA,GWK60_G08833,QNG14092.1,CAGL0G09119g,FALSE
NA,GWK60_G08943,QNG14097.1,CAGL0G09229g,FALSE
NA,GWK60_G08987,QNG14099.1,CAGL0G09262g,FALSE
NA,GWK60_G09141,NA,NA,FALSE
NA,GWK60_G09185,NA,NA,FALSE
NA,GWK60_G09317,QNG14112.1,CAGL0G09603g,FALSE
NA,GWK60_G09339,QNG14113.1,CAGL0G09625g,FALSE
NA,GWK60_G09361,QNG14114.1,CAGL0G09647g,FALSE
NA,GWK60_G09471,QNG14119.1,CAGL0G09757g,FALSE
NA,GWK60_H00165,QNG14147.1,CAGL0H00352g,FALSE
NA,GWK60_H00913,QNG14181.1,CAGL0H01111g,FALSE
NA,GWK60_H01287,QNG14198.1,CAGL0H01507g,FALSE
NA,GWK60_H01705,NA,NA,FALSE
NA,GWK60_H01727,QNG14217.1,CAGL0H01947g,FALSE
NA,GWK60_H01749,NA,NA,FALSE
NA,GWK60_H01771,NA,NA,FALSE
NA,GWK60_H01793,NA,NA,FALSE
NA,GWK60_H02057,QNG14229.1,CAGL0H02277g,FALSE
NA,GWK60_H02079,QNG14230.1,CAGL0H02299g,FALSE
NA,GWK60_H02343,QNG14242.1,CAGL0H02541g,FALSE
NA,GWK60_H02365,QNG14243.1,CAGL0H02563g,FALSE
NA,GWK60_H02431,NA,NA,FALSE
NA,GWK60_H02563,NA,NA,FALSE
NA,GWK60_H02717,NA,NA,FALSE
NA,GWK60_H02783,NA,NA,FALSE
NA,GWK60_H03729,QNG14301.1,CAGL0H03938g,FALSE
NA,GWK60_H03817,QNG14305.1,CAGL0H04015g,FALSE
NA,GWK60_H03861,QNG14307.1,CAGL0H04059g,FALSE
NA,GWK60_H03949,QNG14311.1,CAGL0H04147g,FALSE
NA,GWK60_H03971,QNG14312.1,CAGL0H04169g,FALSE
NA,GWK60_H04059,QNG14316.1,CAGL0H04257g,FALSE
NA,GWK60_H04081,QNG14317.1,CAGL0H04262g,FALSE
NA,GWK60_H04103,QNG14318.1,CAGL0H04279g,FALSE
NA,GWK60_H04125,QNG14319.1,CAGL0H04284g,FALSE
NA,GWK60_H04147,QNG14320.1,CAGL0H04290g,FALSE
NA,GWK60_H04169,QNG14321.1,CAGL0H04295g,FALSE
NA,GWK60_H04323,NA,NA,FALSE
NA,GWK60_H04433,QNG14332.1,CAGL0H04543g,FALSE
NA,GWK60_H05203,QNG14367.1,CAGL0H05291g,FALSE
NA,GWK60_H05379,NA,NA,FALSE
NA,GWK60_H05995,NA,NA,FALSE
NA,GWK60_H06391,QNG14419.1,CAGL0H06479g,FALSE
NA,GWK60_H06545,QNG14426.1,CAGL0H06622g,FALSE
NA,GWK60_H06787,QNG14437.1,CAGL0H06831g,FALSE
NA,GWK60_H07315,QNG14461.1,CAGL0H07337g,FALSE
NA,GWK60_H07579,QNG14473.1,CAGL0H07601g,FALSE
NA,GWK60_H07601,QNG14474.1,CAGL0H07623g,FALSE
NA,GWK60_H08481,QNG14514.1,CAGL0H08525g,FALSE
NA,GWK60_H08635,NA,NA,FALSE
NA,GWK60_H08723,QNG14524.1,CAGL0H08756g,FALSE
NA,GWK60_H09053,QNG14539.1,CAGL0H09086g,FALSE
NA,GWK60_H09251,NA,NA,FALSE
NA,GWK60_H09361,QNG14552.1,CAGL0H09394g,FALSE
NA,GWK60_H09449,QNG14556.1,CAGL0H09482g,FALSE
NA,GWK60_H09537,NA,NA,FALSE
NA,GWK60_H09845,NA,NA,FALSE
NA,GWK60_H09955,QNG14577.1,CAGL0H10010g,FALSE
NA,GWK60_H10307,QNG14593.1,CAGL0H10340g,FALSE
NA,GWK60_I00407,QNG14625.1,CAGL0L00869g,FALSE
NA,GWK60_I00451,NA,NA,FALSE
NA,GWK60_I00561,QNG14631.1,CAGL0L01023g,FALSE
NA,GWK60_I00583,QNG14632.1,CAGL0L01045g,FALSE
NA,GWK60_I00781,NA,NA,FALSE
NA,GWK60_I00803,NA,NA,FALSE
NA,GWK60_I01375,QNG14666.1,CAGL0I05934g,FALSE
NA,GWK60_I01947,NA,NA,FALSE
NA,GWK60_I02101,NA,NA,FALSE
NA,GWK60_I02387,NA,NA,FALSE
NA,GWK60_I02827,NA,NA,FALSE
NA,GWK60_I02893,NA,NA,FALSE
NA,GWK60_I03377,QNG14752.1,CAGL0I07887g,FALSE
NA,GWK60_I03663,NA,NA,FALSE
NA,GWK60_I03927,QNG14776.1,CAGL0I08437g,FALSE
NA,GWK60_I04147,NA,NA,FALSE
NA,GWK60_I04169,NA,NA,FALSE
NA,GWK60_I04257,QNG14789.1,CAGL0I08767g,FALSE
NA,GWK60_I04411,NA,NA,FALSE
NA,GWK60_I04433,QNG14796.1,CAGL0I08943g,FALSE
NA,GWK60_I04521,NA,NA,FALSE
NA,GWK60_I04917,QNG14817.1,CAGL0I09416g,FALSE
NA,GWK60_I05335,QNG14836.1,CAGL0I09834g,FALSE
NA,GWK60_I05445,NA,NA,FALSE
NA,GWK60_I05533,NA,NA,FALSE
NA,GWK60_I05577,NA,NA,FALSE
NA,GWK60_I05621,QNG14846.1,CAGL0I10125g,FALSE
NA,GWK60_I05643,NA,NA,FALSE
NA,GWK60_I05665,NA,NA,FALSE
NA,GWK60_I05687,QNG14847.1,CAGL0I10224g,FALSE
NA,GWK60_I05775,NA,NA,FALSE
NA,GWK60_I06127,NA,NA,FALSE
NA,GWK60_I06281,NA,NA,FALSE
NA,GWK60_J00033,NA,NA,FALSE
NA,GWK60_J00121,NA,NA,FALSE
NA,GWK60_J00605,QNG14905.1,CAGL0J00715g,FALSE
NA,GWK60_J00869,QNG14917.1,CAGL0J00968g,FALSE
NA,GWK60_J00891,NA,NA,FALSE
NA,GWK60_J01045,NA,NA,FALSE
NA,GWK60_J01331,QNG14936.1,CAGL0J01419g,FALSE
NA,GWK60_J01463,NA,NA,FALSE
NA,GWK60_J01507,NA,NA,FALSE
NA,GWK60_J01573,NA,NA,FALSE
NA,GWK60_J01617,NA,NA,FALSE
NA,GWK60_J01683,NA,NA,FALSE
NA,GWK60_J01903,QNG14957.1,CAGL0J02046g,FALSE
NA,GWK60_J02409,NA,NA,FALSE
NA,GWK60_J02519,QNG14984.1,CAGL0J02706g,FALSE
NA,GWK60_J02585,NA,NA,FALSE
NA,GWK60_J03223,NA,NA,FALSE
NA,GWK60_J03597,NA,NA,FALSE
NA,GWK60_J03795,QNG15039.1,CAGL0J03982g,FALSE
NA,GWK60_J04543,NA,NA,FALSE
NA,GWK60_J04961,NA,NA,FALSE
NA,GWK60_J05005,QNG15092.1,CAGL0J05236g,FALSE
NA,GWK60_J05181,QNG15100.1,CAGL0J05390g,FALSE
NA,GWK60_J05599,QNG15119.1,CAGL0J05808g,FALSE
NA,GWK60_J05841,QNG15130.1,CAGL0J06050g,FALSE
NA,GWK60_J05885,QNG15132.1,CAGL0J06088g,FALSE
NA,GWK60_J06281,NA,NA,FALSE
NA,GWK60_J06479,NA,NA,FALSE
NA,GWK60_J06699,QNG15167.1,CAGL0J06864g,FALSE
NA,GWK60_J07183,QNG15189.1,CAGL0J07348g,FALSE
NA,GWK60_J08349,NA,NA,FALSE
NA,GWK60_J09251,NA,NA,FALSE
NA,GWK60_J09383,QNG15287.1,CAGL0J09570g,FALSE
NA,GWK60_J09977,QNG15314.1,CAGL0J10179g,FALSE
NA,GWK60_J10505,QNG15338.1,CAGL0J10714g,FALSE
NA,GWK60_J10879,QNG15355.1,CAGL0J11088g,FALSE
NA,GWK60_J11165,QNG15368.1,CAGL0J11374g,FALSE
NA,GWK60_J11385,QNG15378.1,CAGL0J11594g,FALSE
NA,GWK60_J11407,QNG15379.1,CAGL0J11616g,FALSE
NA,GWK60_K00033,QNG15397.1,CAGL0K00121g,FALSE
NA,GWK60_K00187,QNG15404.1,CAGL0K00341g,FALSE
NA,GWK60_K00407,NA,NA,FALSE
NA,GWK60_K00957,NA,NA,FALSE
NA,GWK60_K01155,QNG15446.1,CAGL0K01309g,FALSE
NA,GWK60_K01793,QNG15475.1,CAGL0K01947g,FALSE
NA,GWK60_K01903,NA,NA,FALSE
NA,GWK60_K02453,NA,NA,FALSE
NA,GWK60_K02475,QNG15504.1,CAGL0K02618g,FALSE
NA,GWK60_K03047,QNG15530.1,CAGL0K03201g,FALSE
NA,GWK60_K03157,NA,NA,FALSE
NA,GWK60_K03949,NA,NA,FALSE
NA,GWK60_K04323,QNG15586.1,CAGL0K04455g,FALSE
NA,GWK60_K04565,QNG15597.1,CAGL0K04708g,FALSE
NA,GWK60_K04587,QNG15598.1,CAGL0K04719g,FALSE
NA,GWK60_K05005,NA,NA,FALSE
NA,GWK60_K05225,QNG15626.1,CAGL0K05390g,FALSE
NA,GWK60_K05291,QNG15629.1,CAGL0K05445g,FALSE
NA,GWK60_K05357,QNG15632.1,CAGL0K05511g,FALSE
NA,GWK60_K05533,QNG15640.1,CAGL0K05687g,FALSE
NA,GWK60_K05753,NA,NA,FALSE
NA,GWK60_K05775,NA,NA,FALSE
NA,GWK60_K05929,QNG15656.1,CAGL0K06083g,FALSE
NA,GWK60_K06215,QNG15669.1,CAGL0K06380g,FALSE
NA,GWK60_K06457,NA,NA,FALSE
NA,GWK60_K06721,QNG15691.1,CAGL0K06875g,FALSE
NA,GWK60_K06787,QNG15694.1,CAGL0K06941g,FALSE
NA,GWK60_K07051,QNG15706.1,CAGL0K07183g,FALSE
NA,GWK60_K07073,QNG15707.1,CAGL0K07205g,FALSE
NA,GWK60_K07095,NA,NA,FALSE
NA,GWK60_K07491,QNG15725.1,CAGL0K07678g,FALSE
NA,GWK60_K07535,NA,NA,FALSE
NA,GWK60_K08261,NA,NA,FALSE
NA,GWK60_K08283,QNG15759.1,CAGL0K08470g,FALSE
NA,GWK60_K08305,QNG15760.1,CAGL0K08492g,FALSE
NA,GWK60_K08591,NA,NA,FALSE
NA,GWK60_K08943,QNG15788.1,CAGL0K09130g,FALSE
NA,GWK60_K08987,NA,NA,FALSE
NA,GWK60_K09427,NA,NA,FALSE
NA,GWK60_K09581,QNG15815.1,CAGL0K09812g,FALSE
NA,GWK60_K09603,QNG15816.1,CAGL0K09823g,FALSE
NA,GWK60_K09779,QNG15824.1,CAGL0K09988g,FALSE
NA,GWK60_K09845,QNG15827.1,CAGL0K10054g,FALSE
NA,GWK60_K09955,QNG15832.1,CAGL0K10164g,FALSE
NA,GWK60_K10241,NA,NA,FALSE
NA,GWK60_K10329,NA,NA,FALSE
NA,GWK60_K10439,NA,NA,FALSE
NA,GWK60_K10791,QNG15867.1,CAGL0K11000g,FALSE
NA,GWK60_K10945,NA,NA,FALSE
NA,GWK60_K11473,NA,NA,FALSE
NA,GWK60_K11693,NA,NA,FALSE
NA,GWK60_K11715,QNG15906.1,CAGL0K11946g,FALSE
NA,GWK60_K12067,QNG15922.1,CAGL0K12298g,FALSE
NA,GWK60_K12089,QNG15923.1,CAGL0K12320g,FALSE
NA,GWK60_L00209,QNG15964.1,CAGL0I00396g,FALSE
NA,GWK60_L00363,QNG15971.1,CAGL0I00550g,FALSE
NA,GWK60_L00539,QNG15979.1,CAGL0I00726g,FALSE
NA,GWK60_L00957,QNG15998.1,CAGL0I01144g,FALSE
NA,GWK60_L01265,NA,NA,FALSE
NA,GWK60_L01353,NA,NA,FALSE
NA,GWK60_L01529,NA,NA,FALSE
NA,GWK60_L01551,NA,NA,FALSE
NA,GWK60_L01639,QNG16025.1,CAGL0I01848g,FALSE
NA,GWK60_L01705,QNG16028.1,CAGL0I01914g,FALSE
NA,GWK60_L01727,QNG16029.1,CAGL0I01936g,FALSE
NA,GWK60_L01859,QNG16035.1,CAGL0I02068g,FALSE
NA,GWK60_L01925,QNG16038.1,CAGL0I02134g,FALSE
NA,GWK60_L02035,QNG16043.1,CAGL0I02244g,FALSE
NA,GWK60_L02387,QNG16059.1,CAGL0I02596g,FALSE
NA,GWK60_L02409,NA,NA,FALSE
NA,GWK60_L02563,NA,NA,FALSE
NA,GWK60_L02761,QNG16074.1,CAGL0I03014g,FALSE
NA,GWK60_L02805,NA,NA,FALSE
NA,GWK60_L02827,NA,NA,FALSE
NA,GWK60_L02871,NA,NA,FALSE
NA,GWK60_L02937,QNG16080.1,CAGL0I03212g,FALSE
NA,GWK60_L03003,NA,NA,FALSE
NA,GWK60_L03311,QNG16096.1,CAGL0I03586g,FALSE
NA,GWK60_L03509,QNG16105.1,CAGL0I03784g,FALSE
NA,GWK60_L03883,NA,NA,FALSE
NA,GWK60_L05005,NA,NA,FALSE
NA,GWK60_L05247,NA,NA,FALSE
NA,GWK60_L05445,QNG16190.1,CAGL0L01573g,FALSE
NA,GWK60_L05467,NA,NA,FALSE
NA,GWK60_L05511,NA,NA,FALSE
NA,GWK60_L05665,NA,NA,FALSE
NA,GWK60_L05687,QNG16198.1,CAGL0L01831g,FALSE
NA,GWK60_L05709,QNG16199.1,CAGL0L01833g,FALSE
NA,GWK60_L05863,QNG16206.1,CAGL0L01969g,FALSE
NA,GWK60_L06501,QNG16235.1,CAGL0L02607g,FALSE
NA,GWK60_L06567,NA,NA,FALSE
NA,GWK60_L06589,QNG16238.1,CAGL0L08547g,FALSE
NA,GWK60_L06611,QNG16239.1,CAGL0L08536g,FALSE
NA,GWK60_L06677,QNG16242.1,CAGL0L08481g,FALSE
NA,GWK60_L06787,QNG16247.1,CAGL0L08360g,FALSE
NA,GWK60_L06831,QNG16249.1,CAGL0L08316g,FALSE
NA,GWK60_L07249,NA,NA,FALSE
NA,GWK60_L07293,QNG16269.1,CAGL0L07942g,FALSE
NA,GWK60_L07359,NA,NA,FALSE
NA,GWK60_L07623,NA,NA,FALSE
NA,GWK60_L07645,QNG16283.1,CAGL0L07590g,FALSE
NA,GWK60_L07667,QNG16284.1,CAGL0L07568g,FALSE
NA,GWK60_L08019,QNG16300.1,CAGL0L07194g,FALSE
NA,GWK60_L08283,QNG16312.1,CAGL0L06930g,FALSE
NA,GWK60_L08525,QNG16323.1,CAGL0L06688g,FALSE
NA,GWK60_L08701,QNG16331.1,CAGL0L06512g,FALSE
NA,GWK60_L08833,NA,NA,FALSE
NA,GWK60_L08943,QNG16341.1,CAGL0L06292g,FALSE
NA,GWK60_L09009,QNG16344.1,CAGL0L06226g,FALSE
