Orthogroup	C_glabrata	S_cerevisiae
OG0000003	QNG16154.1 SNQ2 [Nakaseomyces glabratus]	"YNR070W PDR18 SGDID_S000005353_ Chr XIV from 765375-769376_ Genome Release 64-5-1_ Verified ORF_ ""Transporter of the ATP-binding cassette _ABC_ family; role in plasma membrane sterol incorporation; implicated in pleiotropic drug resistance; provides resistance to ethanol stress and contributes to a decreased intracellular accumulation of ethanol; the authentic_ non-tagged protein is detected in highly purified mitochondria in high-throughput studies"", YDR011W SNQ2 SGDID_S000002418_ Chr IV from 465919-470424_ Genome Release 64-5-1_ Verified ORF_ ""Plasma membrane ATP-binding cassette _ABC_ transporter; multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species"""
OG0000003	QNG13430.1 PDH1 [Nakaseomyces glabratus]	"YDR406W PDR15 SGDID_S000002814_ Chr IV from 1279210-1283799_ Genome Release 64-5-1_ Verified ORF_ ""Plasma membrane ATP binding cassette _ABC_ transporter; multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p_ Pdr3p and Pdr8p; promoter contains a PDR responsive element; PDR15 has a paralog_ PDR5_ that arose from the whole genome duplication"""
OG0000003	QNG16780.1 CDR1 [Nakaseomyces glabratus]	"YOR328W PDR10 SGDID_S000005855_ Chr XV from 931803-936497_ Genome Release 64-5-1_ Verified ORF_ ""ATP-binding cassette _ABC_ transporter; multidrug transporter involved in the pleiotropic drug resistance network; regulated by Pdr1p and Pdr3p"""
OG0000004	QNG12658.1 uncharacterized protein GWK60_C02937 [Nakaseomyces glabratus]	"YOR384W FRE5 SGDID_S000005911_ Chr XV from 1061564-1063648_ Genome Release 64-5-1_ Verified ORF_ ""Putative ferric reductase with similarity to Fre2p; expression induced by low iron levels; the authentic_ non-tagged protein is detected in highly purified mitochondria in high-throughput studies"", YNR060W FRE4 SGDID_S000005343_ Chr XIV from 739951-742110_ Genome Release 64-5-1_ Verified ORF_ ""Ferric reductase; reduces a specific subset of siderophore-bound iron prior to uptake by transporters; expression induced by low iron levels"", YKL220C FRE2 SGDID_S000001703_ Chr XI from 11226-9091_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Ferric reductase and cupric reductase; reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low iron levels but not by low copper levels"", YOR381W FRE3 SGDID_S000005908_ Chr XV from 1055545-1057680_ Genome Release 64-5-1_ Verified ORF_ ""Ferric reductase; reduces siderophore-bound iron prior to uptake by transporters; expression induced by low iron levels"", YLL051C FRE6 SGDID_S000003974_ Chr XII from 39471-37333_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Putative ferric reductase with similarity to Fre2p; expression induced by low iron levels; targeted to vacuole via AP-3 pathway"""
OG0000005	QNG13213.1 SIT1 [Nakaseomyces glabratus]	"YHL047C ARN2 SGDID_S000001039_ Chr VIII from 10213-8351_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Transporter; member of the ARN family of transporters that specifically recognize siderophore-iron chelates; responsible for uptake of iron bound to the siderophore triacetylfusarinine C"", YHL040C ARN1 SGDID_S000001032_ Chr VIII from 20971-19088_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""ARN family transporter for siderophore-iron chelates; responsible for uptake of iron bound to ferrirubin_ ferrirhodin_ and related siderophores; protein increases in abundance and relocalizes to the vacuole upon DNA replication stress"""
OG0000007	QNG13261.1 GRE2_A_ [Nakaseomyces glabratus], QNG13264.1 GRE2_B_ [Nakaseomyces glabratus]	"YGL157W ARI1 SGDID_S000003125_ Chr VII from 209006-210049_ Genome Release 64-5-1_ Verified ORF_ ""NADPH-dependent aldehyde reductase; utilizes aromatic and alophatic aldehyde substrates; member of the short-chain dehydrogenase/reductase superfamily"", YGL039W YGL039W SGDID_S000003007_ Chr VII from 423961-425007_ Genome Release 64-5-1_ Verified ORF_ ""Aldehyde reductase; reduces aliphatic aldehyde substrates using NADH as cofactor; shown to reduce carbonyl compounds to chiral alcohols"""
OG0000008	QNG16889.1 YPS1 [Nakaseomyces glabratus]	"YDR144C MKC7 SGDID_S000002551_ Chr IV from 746101-744311_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""GPI-anchored aspartyl protease; member of the yapsin family of proteases involved in cell wall growth and maintenance; shares functions with Yap3p and Kex2p; MKC7 has a paralog_ YPS1_ that arose from the whole genome duplication"", YLR120C YPS1 SGDID_S000004110_ Chr XII from 388220-386511_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Aspartic protease; hyperglycosylated member of the yapsin family of proteases_ attached to the plasma membrane via a glycosylphosphatidylinositol _GPI_ anchor; involved in nutrient limitation-induced cleavage of the extracellular inhibitory domain of signaling mucin Msb2p_ resulting in activation of the filamentous growth MAPK pathway; involved with other yapsins in the cell wall integrity response; role in KEX2-independent processing of the alpha factor precursor"", YLR121C YPS3 SGDID_S000004111_ Chr XII from 390270-388744_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Aspartic protease; member of the yapsin family of proteases involved in cell wall growth and maintenance; attached to the plasma membrane via a glycosylphosphatidylinositol _GPI_ anchor"""
OG0000008	QNG14967.1 BAR1 [Nakaseomyces glabratus]	"YIL015W BAR1 SGDID_S000001277_ Chr IX from 322342-324105_ Genome Release 64-5-1_ Verified ORF_ ""Aspartyl protease secreted to periplasmic space of mating type a cell; helps cells monitor availability of mating partners; cleaves and inactivates alpha factor allowing cells to recover from alpha-factor-induced cell cycle arrest"""
OG0000009	QNG17323.1 PWP6 [Nakaseomyces glabratus]	"YFL051C YFL051C SGDID_S000001843_ Chr VI from 30540-30058_ Genome Release 64-5-1_ reverse complement_ Uncharacterized ORF_ ""Putative protein of unknown function; SWAT-GFP fusion protein localizes to the cell periphery while mCherry fusion protein localizes to both the cell periphery and vacuole; YFL051C is not an essential gene"", YHR211W FLO5 SGDID_S000001254_ Chr VIII from 525392-528619_ Genome Release 64-5-1_ Verified ORF_ ""Lectin-like cell wall protein _flocculin_ involved in flocculation; binds mannose chains on the surface of other cells_ confers floc-forming ability that is chymotrypsin resistant but heat labile; important for co-flocculation with other yeasts_ mediating interaction with specific species; FLO5 has a paralog_ FLO1_ that arose from a segmental duplication"", YHR212W-A YHR212W-A SGDID_S000028650_ Chr VIII from 538742-538945_ Genome Release 64-5-1_ Uncharacterized ORF_ ""Pseudogenic fragment with similarity to flocculins; identified by gene-trapping_ microarray-based expression analysis_ and genome-wide homology searching; SWAT-GFP_ seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YHR212W-A has a paralog_ YAR061W_ that arose from a segmental duplication"", YAR050W FLO1 SGDID_S000000084_ Chr I from 203403-208016_ Genome Release 64-5-1_ Verified ORF_ ""Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells_ confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts_ mediating interaction with specific species; FLO1 has a paralog_ FLO5_ that arose from a segmental duplication"", YAL063C FLO9 SGDID_S000000059_ Chr I from 27968-24000_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"", YAL065C YAL065C SGDID_S000001817_ Chr I from 11951-11565_ Genome Release 64-5-1_ reverse complement_ Uncharacterized ORF_ ""Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins"", YHR213W YHR213W SGDID_S000001256_ Chr VIII from 539151-539747_ Genome Release 64-5-1_ Uncharacterized ORF_ ""Pseudogenic fragment with similarity to flocculins; YHR213W has a paralog_ YAR062W_ that arose from a segmental duplication"", YAL064C-A TDA8 SGDID_S000002140_ Chr I from 13743-13363_ Genome Release 64-5-1_ reverse complement_ Uncharacterized ORF_ ""Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene"", YKR102W FLO10 SGDID_S000001810_ Chr XI from 646356-649865_ Genome Release 64-5-1_ Verified ORF_ ""Member of the FLO family of cell wall flocculation proteins; not expressed in most lab strains; overproduction induces flocculation that can be inhibited by mannose_ sucrose_ or glucose; overproduction also promotes haploid invasive growth and diploid filamentous growth"""
OG0000011	QNG16475.1 GAP1 [Nakaseomyces glabratus]	"YKR039W GAP1 SGDID_S000001747_ Chr XI from 515063-516871_ Genome Release 64-5-1_ Verified ORF_ ""General amino acid permease; involved in uptake of all L-amino acids_ some D-amino acids_ related compounds_ toxic analogs and polyamines; regulated by nitrogen source; targeted to vacuole via Vps10p-dependent endosomal vacuolar protein sorting pathway; essential for invasive growth"""
OG0000011	QNG12469.1 uncharacterized protein GWK60_B03597 [Nakaseomyces glabratus]	"YGR191W HIP1 SGDID_S000003423_ Chr VII from 880420-882231_ Genome Release 64-5-1_ Verified ORF_ ""High-affinity histidine permease; also involved in the transport of manganese ions"""
OG0000013	QNG13426.1 uncharacterized protein GWK60_F02343 [Nakaseomyces glabratus]	"YDR402C DIT2 SGDID_S000002810_ Chr IV from 1273703-1272234_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""N-formyltyrosine oxidase; sporulation-specific microsomal enzyme involved in the production of N_N-bisformyl dityrosine required for spore wall maturation_ homologous to cytochrome P-450s; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"""
OG0000014	QNG16542.1 uncharacterized protein GWK60_L13541 [Nakaseomyces glabratus], QNG15861.1 uncharacterized protein GWK60_K10659 [Nakaseomyces glabratus], QNG16033.1 OYE2 [Nakaseomyces glabratus], QNG16058.1 uncharacterized protein GWK60_L02365 [Nakaseomyces glabratus]	"YHR179W OYE2 SGDID_S000001222_ Chr VIII from 462502-463704_ Genome Release 64-5-1_ Verified ORF_ ""Conserved NADPH oxidoreductase containing flavin mononucleotide _FMN_; responsible for geraniol reduction into citronellol during fermentation; homologous to Oye3p with different ligand binding and catalytic properties; may be involved in sterol metabolism_ oxidative stress response_ and programmed cell death; protein abundance increases in response to DNA replication stress"", YPL171C OYE3 SGDID_S000006092_ Chr XVI from 227371-226169_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Conserved NADPH oxidoreductase containing flavin mononucleotide _FMN_; homologous to Oye2p with different ligand binding and catalytic properties; has potential roles in oxidative stress response and programmed cell death"""
OG0000015	QNG14360.1 uncharacterized protein GWK60_H05049 [Nakaseomyces glabratus]	"YPL061W ALD6 SGDID_S000005982_ Chr XVI from 432588-434090_ Genome Release 64-5-1_ Verified ORF_ ""Cytosolic aldehyde dehydrogenase; activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; localizes to the mitochondrial outer surface upon oxidative stress; negative regulator of nonselective autophagy; Stb5p directly regulates the expression of ALD6 mRNA and directly binds to the ALD6 promoter"""
OG0000015	QNG13047.1 ALD4 [Nakaseomyces glabratus]	"YOR374W ALD4 SGDID_S000005901_ Chr XV from 1039840-1041399_ Genome Release 64-5-1_ Verified ORF_ ""Mitochondrial aldehyde dehydrogenase; required for growth on ethanol and conversion of acetaldehyde to acetate; phosphorylated; activity is K+ dependent; utilizes NADP+ or NAD+ equally as coenzymes; expression is glucose repressed; can substitute for cytosolic NADP-dependent aldehyde dehydrogenase when directed to the cytosol; human homolog ALDH2 can complement yeast ald4 mutant"""
OG0000015	QNG15005.1 ALD5 [Nakaseomyces glabratus]	"YER073W ALD5 SGDID_S000000875_ Chr V from 304030-305592_ Genome Release 64-5-1_ Verified ORF_ ""Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed"""
OG0000015	QNG13644.1 uncharacterized protein GWK60_F07315 [Nakaseomyces glabratus]	"YMR169C ALD3 SGDID_S000004779_ Chr XIII from 600872-599352_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Cytoplasmic aldehyde dehydrogenase; involved in beta-alanine synthesis; uses NAD+ as the preferred coenzyme; very similar to Ald2p; expression is induced by stress and repressed by glucose"", YMR170C ALD2 SGDID_S000004780_ Chr XIII from 603082-601562_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Cytoplasmic aldehyde dehydrogenase; involved in ethanol oxidation and beta-alanine biosynthesis; uses NAD+ as the preferred coenzyme; expression is stress induced and glucose repressed; very similar to Ald3p"""
OG0000017	QNG12681.1 uncharacterized protein GWK60_C03509 [Nakaseomyces glabratus], QNG12682.1 uncharacterized protein GWK60_C03531 [Nakaseomyces glabratus], QNG14547.1 uncharacterized protein GWK60_H09229 [Nakaseomyces glabratus], QNG14546.1 uncharacterized protein GWK60_H09207 [Nakaseomyces glabratus], QNG12683.1 uncharacterized protein GWK60_C03553 [Nakaseomyces glabratus], QNG12684.1 uncharacterized protein GWK60_C03575 [Nakaseomyces glabratus], QNG12685.1 uncharacterized protein GWK60_C03597 [Nakaseomyces glabratus], QNG12438.1 uncharacterized protein GWK60_B02871 [Nakaseomyces glabratus], QNG13884.1 uncharacterized protein GWK60_G04081 [Nakaseomyces glabratus]	"YER001W MNN1 SGDID_S000000803_ Chr V from 153520-155808_ Genome Release 64-5-1_ Verified ORF_ ""Alpha-1_3-mannosyltransferase; integral membrane glycoprotein of Golgi complex_ required for addition of alpha1_3-mannose linkages to N-linked and O-linked oligosaccharides; one of five S. cerevisiae proteins of MNN1 family; targeted to vacuole via AP-3 pathway"", YIL014W MNT3 SGDID_S000001276_ Chr IX from 326103-327995_ Genome Release 64-5-1_ Verified ORF_ ""Alpha-1_3-mannosyltransferase; adds the fourth and fifth alpha-1_3-linked mannose residues to O-linked glycans during protein O-glycosylation"""
OG0000018	QNG12893.1 KAR2 [Nakaseomyces glabratus]	"YJL034W KAR2 SGDID_S000003571_ Chr X from 381327-383375_ Genome Release 64-5-1_ Verified ORF_ ""ATPase involved in protein import into the ER; also acts as a chaperone to mediate protein folding in the ER and may play a role in ER export of soluble proteins; regulates the unfolded protein response via interaction with Ire1p"""
