TXNAME	GENEID
rna-NM_001178452.3	YMC2
rna-NM_001178454.1	SND3
rna-NM_001178456.2	AIM3
rna-NM_001178458.3	ALG1
rna-NM_001184520.1	SUS1
rna-NM_001178462.1	RAD16
rna-NM_001178466.1	TEF2
rna-NM_001178467.1	MUD1
rna-NM_001270740.1	MEO1
rna-NM_001178479.3	CCZ1
rna-NM_001178483.3	CKS1
rna-NM_001178484.3	MEC1
rna-NM_001178485.2	YBR137W
rna-NM_001178487.3	ATG42
rna-NM_001178490.1	MAK5
rna-NM_001178493.3	ADH5
rna-NM_001178494.1	MRPS9
rna-NM_001178495.1	RTC2
rna-NM_001178496.3	YSW1
rna-NM_001178497.3	ARA1
rna-NM_001178499.1	APD1
rna-NM_001178500.3	SPP381
rna-NM_001178501.3	RIB7
rna-NM_001178503.1	CNS1
rna-NM_001178506.1	AMN1
rna-NM_001178507.1	IFA38
rna-NM_001178508.3	CDC28
rna-NM_001178509.3	CSH1
rna-NM_001180059.1	YSY6
rna-NM_001178511.3	EXO5
rna-NM_001178513.1	UBS1
rna-NM_001178516.3	PEX32
rna-NM_001178519.3	SEC66
rna-NM_001178523.1	SWD3
rna-NM_001178524.3	ECM31
rna-NM_001178528.1	DTR1
rna-NM_001178531.1	YPC1
rna-NM_001178532.3	YBR184W
rna-NM_001178534.1	PCH2
rna-NM_001178535.1	GDT1
rna-NM_001178537.3	RPS9B
rna-NM_001178539.1	RPL21A
rna-NM_001178540.1	RIM2
rna-NM_001178542.3	AIM4
rna-NM_001178547.3	KTR4
rna-NM_001178548.3	BEM1
rna-NM_001184542.1	YBR200W-A
rna-NM_001178549.1	DER1
rna-NM_001178550.4	MCM7
rna-NM_001178551.2	COS111
rna-NM_001178553.3	KTR3
rna-NM_001178555.4	FTH1
rna-NM_001348891.1	YBR209W
rna-NM_001178558.1	ERV15
rna-NM_001178560.3	NGR1
rna-NM_001178561.1	MET8
rna-NM_001178562.1	SDS24
rna-NM_001178563.3	HPC2
rna-NM_001178565.1	ATG12
rna-NM_001184644.1	YBR221W-A
rna-NM_001178573.1	YBR225W
rna-NM_001178576.3	SLX1
rna-NM_001184673.1	COQ21
rna-NM_001178581.3	PBP2
rna-NM_001184461.1	DAD3
rna-NM_001178583.3	VHC1
rna-NM_001178585.1	PRP5
rna-NM_001178590.1	YBR242W
rna-NM_001178592.3	GPX2
rna-NM_001178594.1	RRT2
rna-NM_001178598.1	SPO23
rna-NM_001178599.3	MRPS5
rna-NM_001178600.3	DUT1
rna-NM_001178601.1	SRB6
rna-NM_001178603.3	MTC4
rna-NM_001178605.1	POP4
rna-NM_001178607.3	YBR259W
rna-NM_001178611.3	SHM1
rna-NM_001178613.2	TSC10
rna-NM_001178615.4	REI1
rna-NM_001178616.3	MRPL37
rna-NM_001178619.3	EFM2
rna-NM_001178622.1	CHK1
rna-NM_001178626.1	DPB3
rna-NM_001178627.1	PAF1
rna-NM_001178630.1	MRPL27
rna-NM_001178632.3	YBR284W
rna-NM_001178633.4	HAB1
rna-NM_001178634.1	APE3
rna-NM_001178635.1	YBR287W
rna-NM_001178637.4	SNF5
rna-NM_001178638.1	BSD2
rna-NM_001178641.3	VBA2
rna-NM_001178642.3	SUL1
rna-NM_001178643.2	PCA1
rna-NM_001178645.3	MAL33
rna-NM_001178647.3	MAL32
rna-NM_001178649.3	PAU24
rna-NM_001180054.1	YBL113C
rna-NM_001180053.1	YBL112C
rna-NM_001180052.1	YBL111C
rna-NM_001184458.1	PAU9
rna-NM_001178347.1	MIX23
rna-NM_001178346.2	SRO77
rna-NM_001178345.2	PKC1
rna-NM_001178344.1	SEA4
rna-NM_001178343.1	RTG3
rna-NM_001178341.1	ECM21
rna-NM_001178333.1	ROX3
rna-NM_001184321.1	SCS22
rna-NM_001178331.2	MAP2
rna-NM_001178328.2	TEL1
rna-NM_001178327.1	RPL23A
rna-NM_001178326.1	YBL086C
rna-NM_001178324.2	CDC27
rna-NM_001178322.1	ALG3
rna-NM_001178320.2	PET112
rna-NM_001178318.1	ATG8
rna-NM_001178316.1	ILS1
rna-NM_001178315.1	SSA3
rna-NM_001178314.1	AAR2
rna-NM_001178312.1	RPS8A
rna-NM_001184584.1	YBL071C-B
rna-NM_001346794.1	YBL071C
rna-NM_001178307.2	UBP13
rna-NM_001178306.1	SEF1
rna-NM_001178304.1	PRX1
rna-NM_001178301.1	SKT5
rna-NM_001184440.1	CMC2
rna-NM_001178297.2	PTH2
rna-NM_001178295.1	YBL055C
rna-NM_001178292.1	SAS3
rna-NM_001178291.1	PIN4
rna-NM_001178287.1	EDE1
rna-NM_001178285.1	COR1
rna-NM_001178282.1	FUI1
rna-NM_001178280.1	ERD2
rna-NM_001178279.1	URA7
rna-NM_001178276.1	YBL036C
rna-NM_001178275.1	POL12
rna-NM_001178274.1	STU1
rna-NM_001178273.1	RIB1
rna-NM_001178270.1	PET9
rna-NM_001184457.1	YBL029C-A
rna-NM_001178268.1	YBL028C
rna-NM_001178263.1	MCM2
rna-NM_001178262.1	PIM1
rna-NM_001178261.1	HAP3
rna-NM_001178258.1	POP8
rna-NM_001178257.1	PEP1
rna-NM_001178254.2	RRN6
rna-NM_001178250.1	LAA2
rna-NM_001178247.1	SLA1
rna-NM_001178246.1	LDB7
rna-NM_001178243.1	HTA2
rna-NM_001178241.1	ECM15
rna-NM_001178349.1	NTH2
rna-NM_001178350.1	RER2
rna-NM_001178352.2	GPI18
rna-NM_001178355.2	DSF2
rna-NM_001178356.1	FLR1
rna-NM_001178357.1	HHF1
rna-NM_001178359.1	IPP1
rna-NM_001178361.1	YBR013C
rna-NM_001178362.1	GRX7
rna-NM_001178363.1	MNN2
rna-NM_001178365.1	KAP104
rna-NM_001178366.1	GAL7
rna-NM_001178367.1	GAL10
rna-NM_001178371.1	CHS3
rna-NM_001178373.1	OLA1
rna-NM_001178374.1	ETR1
rna-NM_001346795.1	YBR027C
rna-NM_001178376.1	YPK3
rna-NM_001178377.1	CDS1
rna-NM_001178382.1	HMT1
rna-NM_001178383.1	PDX3
rna-NR_132152.1	SNR161
rna-NM_001178384.1	CSG2
rna-NM_001178385.1	SCO1
rna-NM_001178390.1	CST26
rna-NM_001178391.2	QDR3
rna-NM_001178392.2	TCM62
rna-NM_001178393.2	GIP1
rna-NM_001178394.1	ZTA1
rna-NM_001178397.1	REB1
rna-NM_001178398.1	REG2
rna-NM_001178400.1	RFS1
rna-NM_001178401.1	YBR053C
rna-NM_001178403.1	PRP6
rna-NM_001178405.1	MUM2
rna-NM_001178406.1	UBP14
rna-NM_001184442.3	TSC3
rna-NM_001178407.1	AKL1
rna-NM_001178408.1	ORC2
rna-NM_001178409.3	TRM7
rna-NM_001178410.1	YBR062C
rna-NM_001178411.1	CNM1
rna-NM_001178413.3	ECM2
rna-NM_001178414.1	NRG2
rna-NM_001178415.1	TIP1
rna-NM_001178416.4	BAP2
rna-NM_001178417.1	TAT1
rna-NM_001178418.1	ALG14
rna-NM_001184540.1	YBR072C-A
rna-NM_001178425.3	SLM4
rna-NM_001178427.1	RPG1
rna-NM_001178428.3	SEC18
rna-NM_001178429.1	SPT7
rna-NM_001178430.1	UBC4
rna-NM_001180057.1	RPL19A
rna-NM_001184443.1	YBR085C-A
rna-NM_001178434.1	IST2
rna-NM_001178436.1	POL30
rna-NM_001180058.2	NHP6B
rna-NM_001178438.4	YBR090C
rna-NM_001178439.1	TIM12
rna-NM_001178440.1	PHO3
rna-NM_001178441.3	PHO5
rna-NM_001178443.1	RXT2
rna-NM_001178449.3	FES1
rna-NM_001178450.1	EXO84
rna-NM_001178453.1	VID24
rna-NM_001178455.3	IML3
rna-NM_001178457.1	CMD1
rna-NM_001178459.1	YSA1
rna-NM_001178460.3	CYC8
rna-NM_001178463.1	LYS2
rna-NM_001178465.3	TKL2
rna-NM_001178468.3	CBP6
rna-NM_001178469.2	GRS1
rna-NM_001178470.1	MRPL36
rna-NM_001178471.3	TFC1
rna-NM_001178473.1	PTC4
rna-NM_001178474.1	TPS1
rna-NM_001178475.3	VMA2
rna-NM_001178476.1	ATG14
rna-NM_001178477.1	OPY1
rna-NM_001178478.3	SHE3
rna-NM_001178480.1	AGP2
rna-NM_001178481.1	HSL7
rna-NM_001178486.2	YBR138C
rna-NM_001178488.3	IRA1
rna-NM_001178489.2	BMT2
rna-NM_001178491.3	SUP45
rna-NM_001348890.1	YBR144C
rna-NM_001178498.1	TBS1
rna-NM_001178502.1	RPB5
rna-NM_001178504.3	SLI15
rna-NM_001178505.3	ICS2
rna-NM_001178510.1	TOS1
rna-NM_001178512.3	ARL1
rna-NM_001178514.1	TYR1
rna-NM_001178515.3	POP7
rna-NM_001178517.1	SSE2
rna-NM_001178518.1	NPL4
rna-NM_001178520.3	SMY2
rna-NM_001178521.1	UMP1
rna-NM_001178525.3	EHT1
rna-NM_001178527.1	FZO1
rna-NM_001178529.3	RPS6B
rna-NM_001178530.3	SMP1
rna-NM_001184586.1	YBR182C-A
rna-NM_001178533.3	MBA1
rna-NM_001178536.3	NTC20
rna-NM_001178541.3	MED8
rna-NM_001178543.1	MSI1
rna-NM_001178544.1	PGI1
rna-NM_001184541.3	YBR196C-A
rna-NM_001184643.3	YBR196C-B
rna-NM_001178545.1	YBR197C
rna-NM_001178546.1	TAF5
rna-NM_001184676.3	MIN7
rna-NM_001178552.2	LDH1
rna-NM_001178556.1	DUR12
rna-NM_001178559.3	AME1
rna-NM_001178564.3	YBP1
rna-NM_001178566.1	PYC2
rna-NM_001178567.3	YBR219C
rna-NM_001178568.3	YBR220C
rna-NM_001178569.1	PDB1
rna-NM_001178570.3	PCS60
rna-NM_001178571.3	TDP1
rna-NM_001178575.1	MCX1
rna-NM_001178577.3	ROT2
rna-NM_001178578.1	OM14
rna-NR_132154.1	LSR1
rna-NM_001178579.3	SWC5
rna-NM_001178582.1	ARC40
rna-NM_001178584.3	ABD1
rna-NM_001178586.1	YBR238C
rna-NM_001178587.3	ERT1
rna-NM_001178588.3	THI2
rna-NM_001178589.1	VVS1
rna-NM_001178591.3	ALG7
rna-NM_001178593.1	ISW1
rna-NM_001178595.3	ENP1
rna-NM_001178596.3	HIS7
rna-NM_001178597.1	ARO4
rna-NM_001178602.1	TRS20
rna-NM_001184510.3	RCF3
rna-NM_001178604.1	RIB5
rna-NM_001178606.3	SHG1
rna-NM_001178608.1	RGD1
rna-NM_001178609.1	TAE1
rna-NM_001178610.3	MIC12
rna-NM_001178612.1	YPT10
rna-NM_001395042.1	SLM6
rna-NM_001178617.1	SDH8
rna-NM_001178618.2	BIT2
rna-NM_001178620.3	HSM3
rna-NM_001178621.1	UBX7
rna-NM_001178623.4	RIF1
rna-NM_001178624.3	PPS1
rna-NM_001178628.3	SAF1
rna-NM_001178629.3	DUG2
rna-NM_001178631.1	SSH1
rna-NM_001178636.4	APM3
rna-NM_001178639.1	CTP1
rna-NM_001348892.1	YBR292C
rna-NM_001178644.1	PHO89
rna-NM_001184587.3	TYC1
rna-NM_001178646.1	MAL31
rna-NM_001184588.1	YBR298C-A
rna-NM_001178650.1	COS2
rna-NM_001178710.1	VBA3
rna-NM_001178707.1	HMLALPHA1
rna-NM_001178705.1	VAC17
rna-NM_001184528.1	ADF1
rna-NM_001178701.1	PRD1
rna-NM_001178699.1	KAR4
rna-NM_001305014.1	RDT1
rna-NM_001178698.1	SPB1
rna-NM_001178696.1	LRE1
rna-NM_001184678.1	YCL048W-A
rna-NM_001178693.1	SPS22
rna-NM_001178687.1	YCL042W
rna-NM_001178685.1	GLK1
rna-NM_001178684.1	GID7
rna-NM_001178681.1	GFD2
rna-NM_001178679.1	LSB5
rna-NM_001178677.1	STE50
rna-NM_001178673.1	RNQ1
rna-NM_001178672.1	FUS1
rna-NM_001178670.1	KCC4
rna-NM_001184450.1	YCL021W-A
rna-NM_001178667.1	YCL020W
rna-NM_001178666.2	YCL019W
rna-NM_001178665.1	LEU2
rna-NM_001178662.1	BUD3
rna-NM_001184518.1	VMA9
rna-NM_001178654.1	LDB16
rna-NM_001178653.1	PGS1
rna-NM_001178651.1	RER1
rna-NM_001184314.1	YCL001W-A
rna-NM_001184462.1	YCL001W-B
rna-NM_001348893.1	YCR001W
rna-NM_001178716.1	MRPL32
rna-NM_001178721.1	SAT4
rna-NM_001178725.1	PGK1
rna-NM_001178729.1	RBP95
rna-NM_001178732.1	MAK32
rna-NM_001184313.1	HTL1
rna-NR_132157.1	SNR65
rna-NM_001178746.1	BPH1
rna-NM_001178747.1	SNT1
rna-NM_001178748.1	ELO2
rna-NM_001178750.1	RBK1
rna-NM_001178754.1	MATALPHA1
rna-NM_001310667.1	YCR041W
rna-NR_188202.1	SUT035
rna-NM_001178762.1	ARE1
rna-NM_001178765.1	YCR051W
rna-NM_001178766.1	RSC6
rna-NM_001178767.1	THR4
rna-NM_001178771.1	TAH1
rna-NM_001178772.1	TVS1
rna-NM_001178774.1	BUD31
rna-NM_001178776.1	HCM1
rna-NM_001178777.1	RAD18
rna-NM_001178779.1	ATG15
rna-NM_001178780.1	CPR4
rna-NM_001178815.1	SOL2
rna-NM_001184529.1	EGO2
rna-NM_001180034.1	PTC6
rna-NM_001178787.1	SRB8
rna-NM_001178788.1	AHC2
rna-NM_001178789.1	TRX3
rna-NM_001348897.1	YCR085W
rna-NM_001178792.1	CSM1
rna-NM_001178794.1	ABP1
rna-NM_001178795.1	FIG2
rna-NM_001178797.2	KIN82
rna-NM_001178799.1	CDC39
rna-NM_001178800.1	CDC50
rna-NM_001184674.1	YCR095W-A
rna-NM_001178804.1	HMRA1
rna-NM_001178811.1	PAU3
rna-NM_001178812.1	ADH7
rna-NM_001178813.1	RDS1
rna-NM_001178814.1	AAD3
rna-NM_001178711.1	GEX1
rna-NM_001178709.1	YCL068C
rna-NM_001178708.1	HMLALPHA2
rna-NM_001178706.1	CHA1
rna-NM_001178704.1	MRC1
rna-NM_001178703.1	KRR1
rna-NM_001178702.1	FYV5
rna-NM_001184448.1	MIC10
rna-NM_001178700.1	PEX34
rna-NM_001178697.1	PBN1
rna-NM_001178695.1	APA1
rna-NM_001178694.1	YCL049C
rna-NM_001178692.1	POF1
rna-NM_001178690.1	EMC1
rna-NM_001178689.1	MGR1
rna-NM_001178688.1	PDI1
rna-NM_001178683.1	ATG22
rna-NM_001178682.1	SRO9
rna-NM_001178680.1	GRX1
rna-NM_001178678.1	MXR2
rna-NM_001178676.1	RRP7
rna-NM_001178675.1	HIS4
rna-NM_001178674.1	BIK1
rna-NM_001184449.1	HBN1
rna-NM_001178713.1	FRM2
rna-NM_001178671.1	AGP1
rna-NM_001178664.1	NFS1
rna-NM_001178663.1	DCC1
rna-NM_001184672.1	YCL012C
rna-NM_001178660.1	GBP2
rna-NM_001178659.1	SGF29
rna-NM_001178658.1	ILV6
rna-NM_001178657.1	STP22
rna-NR_132155.1	SNR43
rna-NM_001178652.2	YCL002C
rna-NM_001178715.1	CDC10
rna-NM_001178717.1	YCP4
rna-NM_001178718.1	CIT2
rna-NM_001348894.1	YCR006C
rna-NM_001178720.1	DFP3
rna-NM_001178722.1	RVS161
rna-NM_001178723.1	ADY2
rna-NM_001178724.1	ADP1
rna-NM_001178727.1	POL4
rna-NM_001178728.1	CTO1
rna-NR_132156.1	SNR33
rna-NM_001178730.1	CWH43
rna-NM_001178731.1	SRD1
rna-NM_001178733.1	PET18
rna-NM_001178734.1	MAK31
rna-NM_001178735.1	HSP30
rna-NM_001348895.1	YCR022C
rna-NM_001178737.1	YCR023C
rna-NM_001178738.1	SLM5
rna-NM_001184645.1	YCR024C-B
rna-NM_001178739.1	PMP1
rna-NM_001348896.1	YCR025C
rna-NM_001178741.1	NPP1
rna-NM_001178742.1	RHB1
rna-NM_001178743.1	FEN2
rna-NM_001184315.1	RIM1
rna-NM_001178744.1	SYP1
rna-NM_001178745.1	RPS14A
rna-NR_132158.1	SNR189
rna-NM_001178749.1	RRP43
rna-NM_001178751.1	PHO87
rna-NM_001178752.1	BUD5
rna-NM_001178753.1	MATALPHA2
rna-NM_001178756.1	TAF2
rna-NM_001178757.1	YCR043C
rna-NM_001178758.1	PER1
rna-NM_001178759.1	RRT12
rna-NM_001178760.1	IMG1
rna-NM_001178761.1	BUD23
rna-NM_001178764.1	YCR050C
rna-NM_001178768.1	CTR86
rna-NM_001178769.1	PWP2
rna-NM_001178770.1	YIH1
rna-NM_001178778.1	SED4
rna-NM_001178781.1	IMG2
rna-NM_001178782.1	RSA4
rna-NM_001178783.1	SSK22
rna-NM_001178784.1	ERS1
rna-NM_001178785.1	FUB1
rna-NM_001178786.2	PAT1
rna-NM_001178790.1	TUP1
rna-NM_001184316.1	YCR087C-A
rna-NM_001178796.1	YCR090C
rna-NM_001178798.1	MSH3
rna-NM_001178801.1	OCA4
rna-NM_001178802.1	HMRA2
rna-NM_001178805.1	GIT1
rna-NM_001178806.1	YCR099C
rna-NM_001178807.1	EMA35
rna-NM_001178808.1	YCR101C
rna-NM_001178809.1	YCR102C
rna-NM_001184543.1	YCR108C
rna-NM_001180308.1	COS7
rna-NM_001180307.1	MPH2
rna-NM_001180304.1	THI13
rna-NM_001348898.1	YDL242W
rna-NM_001180301.1	YDL241W
rna-NM_001180300.2	LRG1
rna-NM_001180297.2	AIM6
rna-NM_001180296.1	PHO13
rna-NM_001180293.1	MFG1
rna-NM_001180292.1	OST4
rna-NM_001180290.1	PTP1
rna-NM_001180289.1	SSB1
rna-NM_001180285.1	SHS1
rna-NM_001180279.1	DTD1
rna-NM_001180278.1	YDL218W
rna-NM_001180272.1	SHR3
rna-NM_001180270.1	UGA4
rna-NM_001180268.1	NHP2
rna-NM_001180267.1	GLE1
rna-NM_001180266.1	YCX1
rna-NM_001431137.1	YDL204W-A
rna-NM_001180264.1	RTN2
rna-NM_001180262.1	MRPL11
rna-NM_001180261.1	TRM8
rna-NM_001180255.2	SEC31
rna-NM_001180254.1	SNF3
rna-NM_001180253.1	NUS1
rna-NM_001180252.1	ARF1
rna-NM_001180196.2	RPL35A
rna-NM_001180249.1	RBS1
rna-NM_001180246.1	YDL186W
rna-NM_001180245.1	VMA1
rna-NM_001180242.1	LYS20
rna-NM_001180241.1	INH1
rna-NM_001180240.1	AIT1
rna-NM_001180239.1	PCL9
rna-NM_001180238.1	DLD2
rna-NM_001180236.1	GID12
rna-NM_001180233.1	PAR32
rna-NM_001180230.1	UGA3
rna-NM_001180228.1	SFA1
rna-NM_001180225.1	CDC36
rna-NM_001180221.1	ENT1
rna-NM_001184465.1	YDL159W-A
rna-NM_001180219.1	STE7
rna-NM_001180216.1	CMR1
rna-NM_001180215.1	CLB3
rna-NM_001180214.1	MSH5
rna-NM_001180210.1	RPC53
rna-NM_001180209.1	ATG9
rna-NM_001180207.1	RPN5
rna-NM_001180206.1	LDB17
rna-NM_001180203.1	CCT4
rna-NM_001180201.1	BPL1
rna-NM_001180198.1	RGT2
rna-NM_001180197.1	ARF2
rna-NM_001180251.2	RPL35B
rna-NM_001180192.1	SRF1
rna-NM_001180191.1	CDC53
rna-NM_001180190.1	LYS21
rna-NM_001184325.1	STF1
rna-NM_001180189.1	RPP1B
rna-NM_001180188.1	YDL129W
rna-NM_001180187.1	VCX1
rna-NM_001180186.1	PCL2
rna-NM_001180183.1	YDL124W
rna-NM_001180182.1	SNA4
rna-NM_001180181.1	UBP1
rna-NM_001180179.1	YFH1
rna-NM_001180176.1	CYK3
rna-NM_001180175.1	NUP84
rna-NM_001180173.1	YDL114W
rna-NM_001180171.1	TRM3
rna-NM_001180167.1	KIN28
rna-NM_001180166.1	MSS2
rna-NM_001180164.1	NSE4
rna-NM_001180161.2	POL3
rna-NM_001180158.1	BUG1
rna-NM_001180154.1	PMT1
rna-NM_001180152.1	PMT5
rna-NM_001180151.1	SRP14
rna-NM_001180148.1	NUR1
rna-NM_001180145.1	YDL086W
rna-NM_001180144.1	NDE2
rna-NM_001180143.1	SUB2
rna-NM_001180141.1	RPL13A
rna-NM_001180134.1	RPL31A
rna-NM_001180132.1	AHK1
rna-NM_001180129.1	BDF2
rna-NM_001180125.1	IDP1
rna-NM_001180123.1	UBC9
rna-NM_001180119.1	TSR1
rna-NM_001180117.1	USO1
rna-NM_001180116.1	YDL057W
rna-NM_001180115.1	MBP1
rna-NM_001180110.1	LHP1
rna-NM_001180106.1	SIT4
rna-NM_001180105.1	NPC2
rna-NM_001184304.1	MRP10
rna-NM_001180090.2	DBP10
rna-NM_001180089.1	PRP9
rna-NM_001180088.1	ARP2
rna-NM_001180081.1	GPD1
rna-NM_001180080.1	GPM2
rna-NM_001180076.3	CDC7
rna-NM_001180073.1	NOP1
rna-NM_001180072.3	SLX5
rna-NM_001180069.1	GRX6
rna-NM_001180067.3	APC11
rna-NM_001180066.1	RPT2
rna-NM_001180065.3	PTC1
rna-NM_001180063.1	ATP16
rna-NM_001180062.1	MCD1
rna-NM_001180060.3	RMD1
rna-NM_001180310.1	YRB1
rna-NM_001180311.3	RCR2
rna-NM_001184646.3	YDR003W-A
rna-NM_001180312.1	RAD57
rna-NM_001180315.3	TRP1
rna-NM_001180317.1	GAL3
rna-NM_001180319.1	SNQ2
