From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
YDL222C	Q07651	reviewed	FMP45_YEAST	SUR7 family protein FMP45	FMP45 YDL222C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309	ascospore formation [GO:0030437]; cortical actin cytoskeleton organization [GO:0030866]; endocytosis [GO:0006897]; fungal-type cell wall organization [GO:0031505]; septin cytoskeleton organization [GO:0032185]	cell cortex [GO:0005938]; cell periphery [GO:0071944]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]		cell cortex [GO:0005938]; cell periphery [GO:0071944]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; ascospore formation [GO:0030437]; cortical actin cytoskeleton organization [GO:0030866]; endocytosis [GO:0006897]; fungal-type cell wall organization [GO:0031505]; septin cytoskeleton organization [GO:0032185]	GO:0005739; GO:0005886; GO:0005938; GO:0006897; GO:0030437; GO:0030866; GO:0031505; GO:0032185; GO:0045121; GO:0071944
YDL223C	Q07653	reviewed	HBT1_YEAST	Protein HBT1 (HUB1 target protein 1)	HBT1 Crem YDL223C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1046	cell morphogenesis involved in conjugation with cellular fusion [GO:0000753]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]; mating projection [GO:0005937]; plasma membrane [GO:0005886]		cytoplasm [GO:0005737]; mating projection [GO:0005937]; plasma membrane [GO:0005886]; cell morphogenesis involved in conjugation with cellular fusion [GO:0000753]; regulation of cell shape [GO:0008360]	GO:0000753; GO:0005737; GO:0005886; GO:0005937; GO:0008360
YDL246C	Q07786	reviewed	DHSO2_YEAST	Sorbitol dehydrogenase 2 (SDH 2) (EC 1.1.1.-) (Polyol dehydrogenase) (Xylitol dehydrogenase) (EC 1.1.1.9)	SOR2 YDL246C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	357	hexose metabolic process [GO:0019318]; sorbitol catabolic process [GO:0006062]		D-xylulose reductase activity [GO:0046526]; L-iditol 2-dehydrogenase (NAD+) activity [GO:0003939]; zinc ion binding [GO:0008270]	D-xylulose reductase activity [GO:0046526]; L-iditol 2-dehydrogenase (NAD+) activity [GO:0003939]; zinc ion binding [GO:0008270]; hexose metabolic process [GO:0019318]; sorbitol catabolic process [GO:0006062]	GO:0003939; GO:0006062; GO:0008270; GO:0019318; GO:0046526
YDR014W-A	Q03937	reviewed	HED1_YEAST	Meiosis-specific protein HED1 (RED1 suppressor protein 1)	HED1 YDR014W-A YD9335.01	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	162	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; negative regulation of DNA recombinase mediator complex assembly [GO:1903873]; negative regulation of mitotic recombination [GO:0045950]; synaptonemal complex assembly [GO:0007130]	condensed nuclear chromosome [GO:0000794]	enzyme inhibitor activity [GO:0004857]	condensed nuclear chromosome [GO:0000794]; enzyme inhibitor activity [GO:0004857]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; negative regulation of DNA recombinase mediator complex assembly [GO:1903873]; negative regulation of mitotic recombination [GO:0045950]; synaptonemal complex assembly [GO:0007130]	GO:0000794; GO:0004857; GO:0006281; GO:0006310; GO:0007130; GO:0045950; GO:1903873
YDR019C	P48015	reviewed	GCST_YEAST	Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT) (Glycine decarboxylase complex subunit T)	GCV1 YDR019C YD9335.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	400	glycine catabolic process [GO:0006546]; glycine metabolic process [GO:0006544]; one-carbon metabolic process [GO:0006730]	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]	aminomethyltransferase activity [GO:0004047]; transaminase activity [GO:0008483]	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]; aminomethyltransferase activity [GO:0004047]; transaminase activity [GO:0008483]; glycine catabolic process [GO:0006546]; glycine metabolic process [GO:0006544]; one-carbon metabolic process [GO:0006730]	GO:0004047; GO:0005739; GO:0005960; GO:0006544; GO:0006546; GO:0006730; GO:0008483
YDR034W-B	Q6Q5X2	reviewed	CTPP3_YEAST	Lipid-anchored plasma membrane protein CPP3 (C-terminally palmitoylated protein CPP3) (Cysteine-rich protein CPP3)	CPP3 YDR034W-B	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	51		cell periphery [GO:0071944]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]		cell periphery [GO:0071944]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]	GO:0005774; GO:0005886; GO:0071944
YDR070C	Q12497	reviewed	FMP16_YEAST	Protein FMP16, mitochondrial (Found in mitochondrial proteome protein 16)	FMP16 YDR070C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	93		mitochondrion [GO:0005739]		mitochondrion [GO:0005739]	GO:0005739
YDR345C	P32466	reviewed	HXT3_YEAST	Low-affinity glucose transporter HXT3	HXT3 YDR345C D9651.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	567	carbohydrate transport [GO:0008643]; D-glucose transmembrane transport [GO:1904659]; hexose transmembrane transport [GO:0008645]; transmembrane transport [GO:0055085]	cell periphery [GO:0071944]; plasma membrane [GO:0005886]	carbohydrate:proton symporter activity [GO:0005351]; D-glucose transmembrane transporter activity [GO:0055056]; fructose transmembrane transporter activity [GO:0005353]; mannose transmembrane transporter activity [GO:0015578]	cell periphery [GO:0071944]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; D-glucose transmembrane transporter activity [GO:0055056]; fructose transmembrane transporter activity [GO:0005353]; mannose transmembrane transporter activity [GO:0015578]; carbohydrate transport [GO:0008643]; D-glucose transmembrane transport [GO:1904659]; hexose transmembrane transport [GO:0008645]; transmembrane transport [GO:0055085]	GO:0005351; GO:0005353; GO:0005886; GO:0008643; GO:0008645; GO:0015578; GO:0055056; GO:0055085; GO:0071944; GO:1904659
YDR453C	Q04120	reviewed	TSA2_YEAST	Peroxiredoxin TSA2 (Prx) (EC 1.11.1.24) (Cytoplasmic thiol peroxidase 2) (cTPx 2) (Thiol-specific antioxidant protein 2) (Thioredoxin peroxidase type Ib) (TPx type Ib) (Thioredoxin-dependent peroxiredoxin TSA2)	TSA2 YDR453C D9461.38	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	196	cell redox homeostasis [GO:0045454]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	peroxiredoxin activity [GO:0051920]; thioredoxin peroxidase activity [GO:0008379]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; peroxiredoxin activity [GO:0051920]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to heat [GO:0034605]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; response to oxidative stress [GO:0006979]	GO:0005737; GO:0005829; GO:0006457; GO:0006979; GO:0008379; GO:0034599; GO:0034605; GO:0042744; GO:0045454; GO:0050821; GO:0051920
YDR502C	P19358	reviewed	METK2_YEAST	S-adenosylmethionine synthase 2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2)	SAM2 ETH2 YDR502C D9719.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	384	methionine metabolic process [GO:0006555]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]; methionine metabolic process [GO:0006555]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	GO:0004478; GO:0005524; GO:0005829; GO:0006555; GO:0006556; GO:0006730; GO:0010494; GO:0046872
YEL039C	P00045	reviewed	CYC7_YEAST	Cytochrome c isoform 2 (Iso-2-cytochrome c) (Cytochrome c hypoxic isoform)	CYC7 CYP3 YEL039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	113	mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	GO:0005739; GO:0005758; GO:0006122; GO:0006123; GO:0009055; GO:0020037; GO:0046872
YER096W	P39000	reviewed	SHC1_YEAST	Protein SHC1 (Sporulation-specific homolog of CSD4)	SHC1 YER096W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	512	ascospore formation [GO:0030437]; chitin biosynthetic process [GO:0006031]; fungal-type cell wall organization [GO:0031505]	cytoplasm [GO:0005737]; prospore membrane [GO:0005628]	enzyme activator activity [GO:0008047]	cytoplasm [GO:0005737]; prospore membrane [GO:0005628]; enzyme activator activity [GO:0008047]; ascospore formation [GO:0030437]; chitin biosynthetic process [GO:0006031]; fungal-type cell wall organization [GO:0031505]	GO:0005628; GO:0005737; GO:0006031; GO:0008047; GO:0030437; GO:0031505
YER103W	P22202	reviewed	HSP74_YEAST	Heat shock protein SSA4	SSA4 YER103W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642	chaperone cofactor-dependent protein refolding [GO:0051085]; protein folding [GO:0006457]; protein refolding [GO:0042026]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein folding [GO:0006457]; protein refolding [GO:0042026]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006457; GO:0006616; GO:0016887; GO:0031072; GO:0042026; GO:0044183; GO:0051082; GO:0051085; GO:0140662
YER121W	P40076	reviewed	YEV1_YEAST	Uncharacterized protein YER121W	YER121W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	114					
YER150W	P40092	reviewed	SPI1_YEAST	Uncharacterized cell wall protein SPI1 (Stationary phase-induced protein 1)	SPI1 YER150W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148	fungal-type cell wall organization [GO:0031505]; response to acidic pH [GO:0010447]	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; side of membrane [GO:0098552]	structural constituent of cell wall [GO:0005199]	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; side of membrane [GO:0098552]; structural constituent of cell wall [GO:0005199]; fungal-type cell wall organization [GO:0031505]; response to acidic pH [GO:0010447]	GO:0005199; GO:0005576; GO:0009277; GO:0010447; GO:0031505; GO:0071944; GO:0098552
YFL014W	P22943	reviewed	HSP12_YEAST	12 kDa heat shock protein (Glucose and lipid-regulated protein)	HSP12 GLP1 HOR5 YFL014W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	cell adhesion [GO:0007155]; cellular response to heat [GO:0034605]; cellular response to osmotic stress [GO:0071470]; cellular response to oxidative stress [GO:0034599]; plasma membrane organization [GO:0007009]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	lipid binding [GO:0008289]; protein folding chaperone [GO:0044183]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; lipid binding [GO:0008289]; protein folding chaperone [GO:0044183]; cell adhesion [GO:0007155]; cellular response to heat [GO:0034605]; cellular response to osmotic stress [GO:0071470]; cellular response to oxidative stress [GO:0034599]; plasma membrane organization [GO:0007009]	GO:0005634; GO:0005737; GO:0005768; GO:0005829; GO:0005886; GO:0007009; GO:0007155; GO:0008289; GO:0034599; GO:0034605; GO:0044183; GO:0071470
YFL053W	P43550	reviewed	DAK2_YEAST	Dihydroxyacetone kinase 2 (DHA kinase 2) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase 2) (Triokinase 2) (Triose kinase 2)	DAK2 YFL053W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591	anaerobic glycerol catabolic process [GO:0019588]; glycerol catabolic process [GO:0019563]; glycerol to glycerone phosphate metabolic process [GO:0061610]	cytosol [GO:0005829]	ATP binding [GO:0005524]; glycerone kinase activity [GO:0004371]; triokinase activity [GO:0050354]	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycerone kinase activity [GO:0004371]; triokinase activity [GO:0050354]; anaerobic glycerol catabolic process [GO:0019588]; glycerol catabolic process [GO:0019563]; glycerol to glycerone phosphate metabolic process [GO:0061610]	GO:0004371; GO:0005524; GO:0005829; GO:0019563; GO:0019588; GO:0050354; GO:0061610
YGL121C	P53130	reviewed	GPG1_YEAST	Heterotrimeric G protein gamma subunit GPG1	GPG1 YGL121C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	126	invasive growth in response to glucose limitation [GO:0001403]; negative regulation of amyloid fibril formation [GO:1905907]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of amyloid fibril formation [GO:1905907]; signal transduction [GO:0007165]	GO:0001403; GO:0005737; GO:0007165; GO:1905907
YGL156W	P22855	reviewed	MAN1_YEAST	Alpha-mannosidase (EC 3.2.1.24) (Alpha-D-mannoside mannohydrolase)	AMS1 YGL156W G1861	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1083	cellular response to glucose starvation [GO:0042149]; cellular response to nitrogen starvation [GO:0006995]; mannose catabolic process [GO:0019309]; oligosaccharide catabolic process [GO:0009313]	Cvt complex [GO:0034270]; fungal-type vacuole membrane [GO:0000329]	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]	Cvt complex [GO:0034270]; fungal-type vacuole membrane [GO:0000329]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; cellular response to glucose starvation [GO:0042149]; cellular response to nitrogen starvation [GO:0006995]; mannose catabolic process [GO:0019309]; oligosaccharide catabolic process [GO:0009313]	GO:0000329; GO:0004559; GO:0006995; GO:0009313; GO:0019309; GO:0030246; GO:0034270; GO:0042149; GO:0046872
YGL158W	P38622	reviewed	RCK1_YEAST	Serine/threonine-protein kinase RCK1 (EC 2.7.11.1)	RCK1 YGL158W G1854	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	512	cellular response to oxidative stress [GO:0034599]; mitotic DNA damage checkpoint signaling [GO:0044773]; regulation of meiotic nuclear division [GO:0040020]	nucleus [GO:0005634]	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	nucleus [GO:0005634]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cellular response to oxidative stress [GO:0034599]; mitotic DNA damage checkpoint signaling [GO:0044773]; regulation of meiotic nuclear division [GO:0040020]	GO:0004672; GO:0004674; GO:0005516; GO:0005524; GO:0005634; GO:0034599; GO:0040020; GO:0044773; GO:0106310
